Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
15.07.2019	5	5	57	11.4	0	1 028.50	1 028.50	971.5	1 028.50	971.5	1 028.50
16.07.2019	10	10	-78	-7.8	0	950.5	950.5	1 028.50	1 045.50	950.5	950.5
17.07.2019	7	7	-21	-3	0	929.5	929.5	950.5	968	929.5	929.5
18.07.2019	7	7	148.5	21.21	0	1 078.00	1 078.00	929.5	1 078.00	900	1 078.00
19.07.2019	5	5	-33	-6.6	0	1 045.00	1 045.00	1 078.00	1 165.00	1 045.00	1 045.00
22.07.2019	5	5	135	27	0	1 180.00	1 180.00	1 045.00	1 180.00	1 045.00	1 180.00
23.07.2019	9	9	18.5	2.06	0	1 198.50	1 198.50	1 180.00	1 198.50	1 120.50	1 198.50
24.07.2019	7	7	92	13.14	0	1 290.50	1 290.50	1 198.50	1 290.50	1 183.50	1 290.50
25.07.2019	7	7	-47.5	-6.79	0	1 243.00	1 243.00	1 290.50	1 292.50	1 241.00	1 243.00
26.07.2019	9	9	95	10.56	0	1 338.00	1 338.00	1 243.00	1 339.50	1 243.00	1 338.00
29.07.2019	8	8	27	3.38	0	1 365.00	1 365.00	1 338.00	1 371.00	1 310.50	1 365.00
30.07.2019	6	6	-6.5	-1.08	0	1 358.50	1 358.50	1 365.00	1 365.00	1 314.00	1 358.50
31.07.2019	5	5	-78	-15.6	0	1 280.50	1 280.50	1 358.50	1 358.50	1 280.50	1 280.50
01.08.2019	8	8	118.5	14.81	0	1 399.00	1 399.00	1 280.50	1 424.00	1 280.50	1 399.00
02.08.2019	6	6	-154.5	-25.75	0	1 244.50	1 244.50	1 399.00	1 399.00	1 186.50	1 244.50
05.08.2019	6	6	-128	-21.33	0	1 116.50	1 116.50	1 244.50	1 244.50	1 083.00	1 116.50
06.08.2019	7	7	338.5	48.36	0	1 455.00	1 455.00	1 116.50	1 470.50	1 116.50	1 455.00
07.08.2019	5	5	209.5	41.9	0	1 664.50	1 664.50	1 455.00	1 664.50	1 413.00	1 664.50
08.08.2019	5	5	262.5	52.5	0	1 927.00	1 927.00	1 664.50	1 927.00	1 664.50	1 927.00
09.08.2019	6	6	113.5	18.92	0	2 040.50	2 040.50	1 927.00	2 085.50	1 927.00	2 040.50
12.08.2019	7	7	-88	-12.57	0	1 952.50	1 952.50	2 040.50	2 099.00	1 952.50	1 952.50
13.08.2019	10	10	241.5	24.15	0	2 194.00	2 194.00	1 952.50	2 233.00	1 842.00	2 194.00
14.08.2019	5	5	-164	-32.8	0	2 030.00	2 030.00	2 194.00	2 198.00	2 030.00	2 030.00
15.08.2019	6	6	-25.5	-4.25	0	2 004.50	2 004.50	2 030.00	2 176.00	2 004.50	2 004.50
16.08.2019	8	8	32.5	4.06	0	2 037.00	2 037.00	2 004.50	2 086.50	1 986.50	2 037.00
19.08.2019	6	6	73.5	12.25	0	2 110.50	2 110.50	2 037.00	2 110.50	2 018.50	2 110.50
20.08.2019	8	8	-77.5	-9.69	0	2 033.00	2 033.00	2 110.50	2 142.50	2 033.00	2 033.00
21.08.2019	9	9	26	2.89	0	2 059.00	2 059.00	2 033.00	2 126.00	2 033.00	2 059.00
22.08.2019	7	7	-21.5	-3.07	0	2 037.50	2 037.50	2 059.00	2 092.00	2 037.50	2 037.50
23.08.2019	7	7	-145	-20.71	0	1 892.50	1 892.50	2 037.50	2 087.50	1 892.50	1 892.50
26.08.2019	5	5	48	9.6	0	1 940.50	1 940.50	1 892.50	2 032.50	1 890.50	1 940.50
27.08.2019	5	5	95	19	0	2 035.50	2 035.50	1 940.50	2 049.00	1 940.50	2 035.50
28.08.2019	5	5	-93	-18.6	0	1 942.50	1 942.50	2 035.50	2 035.50	1 899.00	1 942.50
29.08.2019	6	6	120	20	0	2 062.50	2 062.50	1 942.50	2 086.50	1 942.50	2 062.50
30.08.2019	4	4	36	9	0	2 098.50	2 098.50	2 062.50	2 136.50	2 062.50	2 098.50
02.09.2019	4	4	90.5	22.63	0	2 189.00	2 189.00	2 098.50	2 189.00	2 098.50	2 189.00
03.09.2019	5	5	48.5	9.7	0	2 237.50	2 237.50	2 189.00	2 239.50	2 146.00	2 237.50
04.09.2019	7	7	118.5	16.93	0	2 356.00	2 356.00	2 237.50	2 356.00	2 237.50	2 356.00
05.09.2019	5	5	125	25	0	2 481.00	2 481.00	2 356.00	2 481.00	2 348.00	2 481.00
06.09.2019	6	6	-37.5	-6.25	0	2 443.50	2 443.50	2 481.00	2 498.00	2 443.50	2 443.50
09.09.2019	4	4	13.5	3.38	0	2 457.00	2 457.00	2 443.50	2 464.50	2 427.50	2 457.00
10.09.2019	6	6	77.5	12.92	0	2 534.50	2 534.50	2 457.00	2 534.50	2 400.50	2 534.50
11.09.2019	6	6	44	7.33	0	2 578.50	2 578.50	2 534.50	2 578.50	2 520.50	2 578.50
12.09.2019	6	6	29.5	4.92	0	2 608.00	2 608.00	2 578.50	2 695.00	2 578.50	2 608.00
13.09.2019	8	8	-126.5	-15.81	0	2 481.50	2 481.50	2 608.00	2 619.50	2 481.50	2 481.50
16.09.2019	5	5	110	22	0	2 591.50	2 591.50	2 481.50	2 621.00	2 481.50	2 591.50
17.09.2019	6	6	34	5.67	0	2 625.50	2 625.50	2 591.50	2 625.50	2 562.50	2 625.50
18.09.2019	6	6	-116.5	-19.42	0	2 509.00	2 509.00	2 625.50	2 625.50	2 509.00	2 509.00
19.09.2019	7	7	-7	-1	0	2 502.00	2 502.00	2 509.00	2 554.00	2 494.00	2 502.00
20.09.2019	4	4	9	2.25	0	2 511.00	2 511.00	2 502.00	2 547.00	2 502.00	2 511.00
23.09.2019	6	6	-15.5	-2.58	0	2 495.50	2 495.50	2 511.00	2 538.50	2 492.00	2 495.50
24.09.2019	5	5	-58	-11.6	0	2 437.50	2 437.50	2 495.50	2 521.50	2 437.50	2 437.50
25.09.2019	5	5	54.5	10.9	0	2 492.00	2 492.00	2 437.50	2 492.00	2 415.50	2 492.00
26.09.2019	6	6	43.5	7.25	0	2 535.50	2 535.50	2 492.00	2 535.50	2 451.50	2 535.50
27.09.2019	6	6	67.5	11.25	0	2 603.00	2 603.00	2 535.50	2 603.00	2 535.50	2 603.00
30.09.2019	6	6	53	8.83	0	2 656.00	2 656.00	2 603.00	2 658.50	2 603.00	2 656.00
01.10.2019	8	8	60.5	7.56	0	2 716.50	2 716.50	2 656.00	2 731.50	2 656.00	2 716.50
02.10.2019	5	5	-7.5	-1.5	0	2 709.00	2 709.00	2 716.50	2 716.50	2 654.00	2 709.00
03.10.2019	7	7	5	0.71	0	2 714.00	2 714.00	2 709.00	2 725.00	2 665.50	2 714.00
04.10.2019	7	7	130.5	18.64	0	2 844.50	2 844.50	2 714.00	2 844.50	2 655.00	2 844.50
07.10.2019	6	6	-31.5	-5.25	0	2 813.00	2 813.00	2 844.50	2 882.00	2 813.00	2 813.00
08.10.2019	6	6	-41	-6.83	0	2 772.00	2 772.00	2 813.00	2 839.50	2 744.00	2 772.00
09.10.2019	8	8	96.5	12.06	0	2 868.50	2 868.50	2 772.00	2 872.50	2 772.00	2 868.50
10.10.2019	8	8	156	19.5	0	3 024.50	3 024.50	2 868.50	3 089.00	2 868.50	3 024.50
11.10.2019	5	5	66	13.2	0	3 090.50	3 090.50	3 024.50	3 112.00	3 024.50	3 090.50
14.10.2019	4	4	-57.5	-14.38	0	3 033.00	3 033.00	3 090.50	3 090.50	3 024.00	3 033.00
15.10.2019	5	5	8	1.6	0	3 041.00	3 041.00	3 033.00	3 062.50	3 019.50	3 041.00
16.10.2019	6	6	-27	-4.5	0	3 014.00	3 014.00	3 041.00	3 041.00	2 998.00	3 014.00
17.10.2019	6	6	-36.5	-6.08	0	2 977.50	2 977.50	3 014.00	3 015.50	2 970.00	2 977.50
18.10.2019	6	6	-34.5	-5.75	0	2 943.00	2 943.00	2 977.50	2 977.50	2 923.50	2 943.00
21.10.2019	6	6	26	4.33	0	2 969.00	2 969.00	2 943.00	2 969.00	2 937.00	2 969.00
22.10.2019	6	6	8	1.33	0	2 977.00	2 977.00	2 969.00	3 038.00	2 969.00	2 977.00
23.10.2019	6	6	87	14.5	0	3 064.00	3 064.00	2 977.00	3 064.00	2 959.00	3 064.00
24.10.2019	6	6	39	6.5	0	3 103.00	3 103.00	3 064.00	3 117.00	3 052.50	3 103.00
25.10.2019	3	3	48.5	16.17	0	3 151.50	3 151.50	3 103.00	3 170.00	3 103.00	3 151.50
28.10.2019	6	6	52	8.67	0	3 203.50	3 203.50	3 151.50	3 203.50	3 128.00	3 203.50
29.10.2019	7	7	-121.5	-17.36	0	3 082.00	3 082.00	3 203.50	3 212.50	3 082.00	3 082.00
30.10.2019	4	4	56.5	14.13	0	3 138.50	3 138.50	3 082.00	3 138.50	3 068.50	3 138.50
31.10.2019	4	4	-80.5	-20.13	0	3 058.00	3 058.00	3 138.50	3 149.00	3 058.00	3 058.00
01.11.2019	8	8	90	11.25	0	3 148.00	3 148.00	3 058.00	3 148.00	3 030.50	3 148.00
04.11.2019	7	7	78	11.14	0	3 226.00	3 226.00	3 148.00	3 226.00	3 148.00	3 226.00
05.11.2019	7	7	2.5	0.36	0	3 228.50	3 228.50	3 226.00	3 278.50	3 226.00	3 228.50
06.11.2019	5	5	-20.5	-4.1	0	3 208.00	3 208.00	3 228.50	3 247.00	3 208.00	3 208.00
07.11.2019	7	7	-56	-8	0	3 152.00	3 152.00	3 208.00	3 213.00	3 152.00	3 152.00
08.11.2019	5	5	-2.5	-0.5	0	3 149.50	3 149.50	3 152.00	3 171.50	3 126.00	3 149.50
11.11.2019	5	5	23.5	4.7	0	3 173.00	3 173.00	3 149.50	3 173.00	3 126.00	3 173.00
12.11.2019	5	5	-34.5	-6.9	0	3 138.50	3 138.50	3 173.00	3 173.00	3 138.50	3 138.50
13.11.2019	6	6	-21.5	-3.58	0	3 117.00	3 117.00	3 138.50	3 155.00	3 103.00	3 117.00
14.11.2019	7	7	-36.5	-5.21	0	3 080.50	3 080.50	3 117.00	3 136.50	3 060.00	3 080.50
15.11.2019	6	6	33	5.5	0	3 113.50	3 113.50	3 080.50	3 156.50	3 080.50	3 113.50
18.11.2019	4	4	123.5	30.88	0	3 237.00	3 237.00	3 113.50	3 237.00	3 113.50	3 237.00
19.11.2019	6	6	49	8.17	0	3 286.00	3 286.00	3 237.00	3 295.00	3 237.00	3 286.00
20.11.2019	4	4	-12.5	-3.13	0	3 273.50	3 273.50	3 286.00	3 290.50	3 261.50	3 273.50
21.11.2019	8	8	42	5.25	0	3 315.50	3 315.50	3 273.50	3 334.00	3 273.50	3 315.50
22.11.2019	7	7	38.5	5.5	0	3 354.00	3 354.00	3 315.50	3 362.00	3 315.50	3 354.00
25.11.2019	8	8	28	3.5	0	3 382.00	3 382.00	3 354.00	3 383.00	3 312.00	3 382.00
26.11.2019	6	6	-13	-2.17	0	3 369.00	3 369.00	3 382.00	3 407.50	3 366.50	3 369.00
27.11.2019	3	3	-1.5	-0.5	0	3 367.50	3 367.50	3 369.00	3 381.50	3 360.50	3 367.50
28.11.2019	3	3	29	9.67	0	3 396.50	3 396.50	3 367.50	3 396.50	3 357.50	3 396.50
29.11.2019	4	4	-5	-1.25	0	3 391.50	3 391.50	3 396.50	3 399.00	3 380.50	3 391.50
02.12.2019	6	6	52	8.67	0	3 443.50	3 443.50	3 391.50	3 443.50	3 391.50	3 443.50
03.12.2019	2	2	-25.5	-12.75	0	3 418.00	3 418.00	3 443.50	3 443.50	3 395.50	3 418.00
04.12.2019	6	6	97.5	16.25	0	3 515.50	3 515.50	3 418.00	3 553.50	3 418.00	3 515.50
05.12.2019	8	8	-7.5	-0.94	0	3 508.00	3 508.00	3 515.50	3 522.50	3 482.00	3 508.00
06.12.2019	7	7	80	11.43	0	3 588.00	3 588.00	3 508.00	3 588.00	3 501.00	3 588.00
09.12.2019	5	5	47.5	9.5	0	3 635.50	3 635.50	3 588.00	3 657.00	3 588.00	3 635.50
10.12.2019	5	5	7	1.4	0	3 642.50	3 642.50	3 635.50	3 652.00	3 615.00	3 642.50
11.12.2019	6	6	36.5	6.08	0	3 679.00	3 679.00	3 642.50	3 707.00	3 642.50	3 679.00
12.12.2019	8	8	-2.5	-0.31	0	3 676.50	3 676.50	3 679.00	3 690.00	3 655.00	3 676.50
13.12.2019	4	4	-40	-10	0	3 636.50	3 636.50	3 676.50	3 676.50	3 628.00	3 636.50
16.12.2019	8	8	-20.5	-2.56	0	3 616.00	3 616.00	3 636.50	3 646.00	3 606.50	3 616.00
17.12.2019	6	6	-3.5	-0.58	0	3 612.50	3 612.50	3 616.00	3 644.50	3 603.50	3 612.50
18.12.2019	3	3	-10.5	-3.5	0	3 602.00	3 602.00	3 612.50	3 612.50	3 590.00	3 602.00
19.12.2019	5	5	13	2.6	0	3 615.00	3 615.00	3 602.00	3 615.00	3 579.00	3 615.00
20.12.2019	9	9	3	0.33	0	3 618.00	3 618.00	3 615.00	3 618.00	3 564.00	3 618.00
23.12.2019	5	5	-2.5	-0.5	0	3 615.50	3 615.50	3 618.00	3 618.00	3 608.00	3 615.50
24.12.2019	4	4	14	3.5	0	3 629.50	3 629.50	3 615.50	3 629.50	3 613.00	3 629.50
26.12.2019	5	5	59	11.8	0	3 688.50	3 688.50	3 629.50	3 688.50	3 629.50	3 688.50
27.12.2019	6	6	-8	-1.33	0	3 680.50	3 680.50	3 688.50	3 702.00	3 680.50	3 680.50
30.12.2019	7	7	37	5.29	0	3 717.50	3 717.50	3 680.50	3 718.00	3 680.50	3 717.50
31.12.2019	6	6	48.5	8.08	0	3 766.00	3 766.00	3 717.50	3 766.00	3 704.50	3 766.00
02.01.2020	6	6	118.5	19.75	0	3 884.50	3 884.50	3 766.00	3 884.50	3 751.50	3 884.50
03.01.2020	7	7	25.5	3.64	0	3 910.00	3 910.00	3 884.50	3 952.50	3 808.00	3 910.00
06.01.2020	5	5	125	25	0	4 035.00	4 035.00	3 910.00	4 035.00	3 888.00	4 035.00
07.01.2020	5	5	-26.5	-5.3	0	4 008.50	4 008.50	4 035.00	4 082.50	4 008.50	4 008.50
08.01.2020	8	8	116	14.5	0	4 124.50	4 124.50	4 008.50	4 124.50	3 955.50	4 124.50
09.01.2020	5	5	51	10.2	0	4 175.50	4 175.50	4 124.50	4 175.50	4 087.00	4 175.50
10.01.2020	8	8	3	0.38	0	4 178.50	4 178.50	4 175.50	4 240.50	4 175.50	4 178.50
13.01.2020	7	7	128	18.29	0	4 306.50	4 306.50	4 178.50	4 306.50	4 178.50	4 306.50
14.01.2020	5	5	-69	-13.8	0	4 237.50	4 237.50	4 306.50	4 306.50	4 237.50	4 237.50
15.01.2020	7	7	-63	-9	0	4 174.50	4 174.50	4 237.50	4 244.00	4 174.50	4 174.50
16.01.2020	5	5	19	3.8	0	4 193.50	4 193.50	4 174.50	4 193.50	4 155.50	4 193.50
17.01.2020	6	6	-3.5	-0.58	0	4 190.00	4 190.00	4 193.50	4 193.50	4 169.00	4 190.00
20.01.2020	6	6	-44	-7.33	0	4 146.00	4 146.00	4 190.00	4 190.00	4 146.00	4 146.00
21.01.2020	5	5	-13	-2.6	0	4 133.00	4 133.00	4 146.00	4 146.00	4 092.50	4 133.00
22.01.2020	6	6	56.5	9.42	0	4 189.50	4 189.50	4 133.00	4 217.50	4 133.00	4 189.50
23.01.2020	6	6	-17	-2.83	0	4 172.50	4 172.50	4 189.50	4 189.50	4 123.50	4 172.50
24.01.2020	6	6	-36	-6	0	4 136.50	4 136.50	4 172.50	4 172.50	4 136.50	4 136.50
27.01.2020	4	4	-75.5	-18.88	0	4 061.00	4 061.00	4 136.50	4 136.50	3 992.50	4 061.00
28.01.2020	6	6	182.5	30.42	0	4 243.50	4 243.50	4 061.00	4 243.50	4 061.00	4 243.50
29.01.2020	5	5	93	18.6	0	4 336.50	4 336.50	4 243.50	4 339.50	4 243.50	4 336.50
30.01.2020	6	6	-40	-6.67	0	4 296.50	4 296.50	4 336.50	4 336.50	4 221.00	4 296.50
31.01.2020	6	6	-16.5	-2.75	0	4 280.00	4 280.00	4 296.50	4 307.50	4 260.50	4 280.00
03.02.2020	6	6	179	29.83	0	4 459.00	4 459.00	4 280.00	4 477.50	4 280.00	4 459.00
04.02.2020	7	7	85	12.14	0	4 544.00	4 544.00	4 459.00	4 552.50	4 459.00	4 544.00
05.02.2020	5	5	88.5	17.7	0	4 632.50	4 632.50	4 544.00	4 632.50	4 496.00	4 632.50
06.02.2020	7	7	50.5	7.21	0	4 683.00	4 683.00	4 632.50	4 728.50	4 621.50	4 683.00
07.02.2020	4	4	-51.5	-12.88	0	4 631.50	4 631.50	4 683.00	4 684.50	4 631.50	4 631.50
10.02.2020	7	7	-39	-5.57	0	4 592.50	4 592.50	4 631.50	4 631.50	4 521.00	4 592.50
11.02.2020	6	6	-78	-13	0	4 514.50	4 514.50	4 592.50	4 605.50	4 514.50	4 514.50
12.02.2020	6	6	70	11.67	0	4 584.50	4 584.50	4 514.50	4 593.00	4 494.50	4 584.50
13.02.2020	6	6	-39.5	-6.58	0	4 545.00	4 545.00	4 584.50	4 584.50	4 496.00	4 545.00
14.02.2020	7	7	-99	-14.14	0	4 446.00	4 446.00	4 545.00	4 582.50	4 446.00	4 446.00
17.02.2020	6	6	17.5	2.92	0	4 463.50	4 463.50	4 446.00	4 519.50	4 446.00	4 463.50
18.02.2020	5	5	105	21	0	4 568.50	4 568.50	4 463.50	4 568.50	4 434.50	4 568.50
19.02.2020	3	3	13	4.33	0	4 581.50	4 581.50	4 568.50	4 611.50	4 568.50	4 581.50
20.02.2020	7	7	83.5	11.93	0	4 665.00	4 665.00	4 581.50	4 665.00	4 581.50	4 665.00
21.02.2020	5	5	-99.5	-19.9	0	4 565.50	4 565.50	4 665.00	4 665.00	4 565.00	4 565.50
24.02.2020	3	3	-167.5	-55.83	0	4 398.00	4 398.00	4 565.50	4 565.50	4 398.00	4 398.00
25.02.2020	4	4	36.5	9.13	0	4 434.50	4 434.50	4 398.00	4 480.00	4 380.50	4 434.50
26.02.2020	3	3	-104	-34.67	0	4 330.50	4 330.50	4 434.50	4 434.50	4 259.00	4 330.50
27.02.2020	4	4	-118	-29.5	0	4 212.50	4 212.50	4 330.50	4 378.00	4 212.50	4 212.50
28.02.2020	1	1	-84.5	-84.5	0	4 128.00	4 128.00	4 212.50	4 212.50	4 128.00	4 128.00
02.03.2020	3	3	240	80	0	4 368.00	4 368.00	4 128.00	4 461.50	4 128.00	4 368.00
03.03.2020	2	2	50	25	0	4 418.00	4 418.00	4 368.00	4 418.00	4 288.50	4 418.00
04.03.2020	4	4	176.5	44.13	0	4 594.50	4 594.50	4 418.00	4 649.00	4 418.00	4 594.50
05.03.2020	6	6	-24.5	-4.08	0	4 570.00	4 570.00	4 594.50	4 594.50	4 440.50	4 570.00
06.03.2020	2	2	-32	-16	0	4 538.00	4 538.00	4 570.00	4 570.00	4 514.00	4 538.00
09.03.2020	2	2	-6.5	-3.25	0	4 531.50	4 531.50	4 538.00	4 538.00	4 531.50	4 531.50
10.03.2020	2	2	-158	-79	0	4 373.50	4 373.50	4 531.50	4 531.50	4 373.50	4 373.50
11.03.2020	2	2	17.5	8.75	0	4 391.00	4 391.00	4 373.50	4 391.00	4 281.50	4 391.00
12.03.2020	3	3	-186.5	-62.17	0	4 204.50	4 204.50	4 391.00	4 391.00	4 204.50	4 204.50
13.03.2020	1	1	115.5	115.5	0	4 320.00	4 320.00	4 204.50	4 320.00	4 204.50	4 320.00
18.03.2020	1	1	-10.5	-10.5	0	4 309.50	4 309.50	4 320.00	4 320.00	4 309.50	4 309.50
20.03.2020	3	3	334	111.33	0	4 643.50	4 643.50	4 309.50	4 643.50	4 309.50	4 643.50
23.03.2020	3	3	749	249.67	0	5 392.50	5 392.50	4 643.50	5 392.50	4 565.00	5 392.50
24.03.2020	2	2	147	73.5	0	5 539.50	5 539.50	5 392.50	5 624.50	5 392.50	5 539.50
26.03.2020	2	2	-194	-97	0	5 345.50	5 345.50	5 539.50	5 539.50	5 345.50	5 345.50
27.03.2020	2	2	11	5.5	0	5 356.50	5 356.50	5 345.50	5 445.50	5 345.50	5 356.50
30.03.2020	4	4	46	11.5	0	5 402.50	5 402.50	5 356.50	5 545.50	5 356.50	5 402.50
31.03.2020	4	4	78.5	19.63	0	5 481.00	5 481.00	5 402.50	5 534.00	5 402.50	5 481.00
01.04.2020	5	5	-237	-47.4	0	5 244.00	5 244.00	5 481.00	5 481.00	5 244.00	5 244.00
02.04.2020	4	4	-49	-12.25	0	5 195.00	5 195.00	5 244.00	5 297.00	5 188.50	5 195.00
03.04.2020	5	5	54.5	10.9	0	5 249.50	5 249.50	5 195.00	5 249.50	5 005.50	5 249.50
06.04.2020	7	7	205.5	29.36	0	5 455.00	5 455.00	5 249.50	5 510.50	5 249.50	5 455.00
07.04.2020	5	5	229	45.8	0	5 684.00	5 684.00	5 455.00	5 738.00	5 455.00	5 684.00
08.04.2020	7	7	7	1	0	5 691.00	5 691.00	5 684.00	5 919.50	5 684.00	5 691.00
09.04.2020	4	4	201	50.25	0	5 892.00	5 892.00	5 691.00	5 963.00	5 691.00	5 892.00
13.04.2020	4	4	249	62.25	0	6 141.00	6 141.00	5 892.00	6 141.00	5 892.00	6 141.00
14.04.2020	6	6	141.5	23.58	0	6 282.50	6 282.50	6 141.00	6 323.00	6 141.00	6 282.50
15.04.2020	7	7	-236.5	-33.79	0	6 046.00	6 046.00	6 282.50	6 282.50	5 936.50	6 046.00
16.04.2020	6	6	-97.5	-16.25	0	5 948.50	5 948.50	6 046.00	6 047.50	5 854.50	5 948.50
17.04.2020	6	6	-94	-15.67	0	5 854.50	5 854.50	5 948.50	5 948.50	5 696.50	5 854.50
20.04.2020	5	5	-82	-16.4	0	5 772.50	5 772.50	5 854.50	5 974.00	5 772.50	5 772.50
21.04.2020	6	6	-205	-34.17	0	5 567.50	5 567.50	5 772.50	5 772.50	5 483.50	5 567.50
22.04.2020	7	7	87.5	12.5	0	5 655.00	5 655.00	5 567.50	5 699.50	5 448.00	5 655.00
23.04.2020	7	7	106.5	15.21	0	5 761.50	5 761.50	5 655.00	5 761.50	5 535.50	5 761.50
24.04.2020	5	5	246.5	49.3	0	6 008.00	6 008.00	5 761.50	6 008.00	5 719.50	6 008.00
27.04.2020	5	5	16.5	3.3	0	6 024.50	6 024.50	6 008.00	6 146.00	6 003.50	6 024.50
28.04.2020	5	5	139.5	27.9	0	6 164.00	6 164.00	6 024.50	6 204.00	6 002.00	6 164.00
29.04.2020	6	6	122	20.33	0	6 286.00	6 286.00	6 164.00	6 295.00	6 164.00	6 286.00
30.04.2020	8	8	-143.5	-17.94	0	6 142.50	6 142.50	6 286.00	6 339.50	6 081.00	6 142.50
01.05.2020	5	5	54.5	10.9	0	6 197.00	6 197.00	6 142.50	6 209.00	6 043.50	6 197.00
04.05.2020	5	5	336.5	67.3	0	6 533.50	6 533.50	6 197.00	6 533.50	6 197.00	6 533.50
05.05.2020	4	4	356	89	0	6 889.50	6 889.50	6 533.50	6 889.50	6 533.50	6 889.50
06.05.2020	5	5	-4.5	-0.9	0	6 885.00	6 885.00	6 889.50	7 016.50	6 885.00	6 885.00
07.05.2020	5	5	162	32.4	0	7 047.00	7 047.00	6 885.00	7 055.00	6 885.00	7 047.00
08.05.2020	6	6	96	16	0	7 143.00	7 143.00	7 047.00	7 220.00	7 047.00	7 143.00
11.05.2020	6	6	34	5.67	0	7 177.00	7 177.00	7 143.00	7 225.00	7 021.00	7 177.00
12.05.2020	6	6	-30.5	-5.08	0	7 146.50	7 146.50	7 177.00	7 239.00	7 133.00	7 146.50
13.05.2020	5	5	10.5	2.1	0	7 157.00	7 157.00	7 146.50	7 322.00	7 146.50	7 157.00
14.05.2020	4	4	103.5	25.88	0	7 260.50	7 260.50	7 157.00	7 260.50	7 092.50	7 260.50
15.05.2020	5	5	316.5	63.3	0	7 577.00	7 577.00	7 260.50	7 577.00	7 260.50	7 577.00
18.05.2020	9	9	91.5	10.17	0	7 668.50	7 668.50	7 577.00	7 718.50	7 541.50	7 668.50
19.05.2020	5	5	145	29	0	7 813.50	7 813.50	7 668.50	7 867.00	7 645.00	7 813.50
20.05.2020	6	6	197.5	32.92	0	8 011.00	8 011.00	7 813.50	8 102.00	7 813.50	8 011.00
21.05.2020	5	5	-62	-12.4	0	7 949.00	7 949.00	8 011.00	8 054.00	7 949.00	7 949.00
22.05.2020	7	7	94.5	13.5	0	8 043.50	8 043.50	7 949.00	8 043.50	7 885.50	8 043.50
25.05.2020	5	5	74	14.8	0	8 117.50	8 117.50	8 043.50	8 136.50	8 021.50	8 117.50
26.05.2020	4	4	24	6	0	8 141.50	8 141.50	8 117.50	8 212.50	8 117.50	8 141.50
27.05.2020	5	5	8	1.6	0	8 149.50	8 149.50	8 141.50	8 266.50	8 141.50	8 149.50
