Date	Quantity of positions	Volume	P.L	Average P.L	Comission	Gross	Net	Open	Hi	Low	Close
24.05.2019	3	3	-6	-2	0	-6	-6	0	22.5	-6	-6
27.05.2019	7	7	-35	-5	0	-41	-41	-6	-6	-52.5	-41
28.05.2019	5	5	88.5	17.7	0	47.5	47.5	-41	47.5	-41	47.5
29.05.2019	4	4	-44.5	-11.13	0	3	3	47.5	47.5	-2	3
30.05.2019	5	5	6.5	1.3	0	9.5	9.5	3	15.5	-19.5	9.5
31.05.2019	4	4	-76.5	-19.13	0	-67	-67	9.5	9.5	-67	-67
03.06.2019	5	5	75	15	0	8	8	-67	8	-89.5	8
04.06.2019	3	3	56	18.67	0	64	64	8	64	-19.5	64
05.06.2019	5	5	1	0.2	0	65	65	64	118	64	65
06.06.2019	2	2	59.5	29.75	0	124.5	124.5	65	124.5	48	124.5
07.06.2019	4	4	48	12	0	172.5	172.5	124.5	182.5	124.5	172.5
10.06.2019	5	5	-24.5	-4.9	0	148	148	172.5	174	146	148
11.06.2019	3	3	32.5	10.83	0	180.5	180.5	148	180.5	148	180.5
12.06.2019	6	6	-71.5	-11.92	0	109	109	180.5	180.5	109	109
13.06.2019	4	4	64.5	16.13	0	173.5	173.5	109	173.5	87	173.5
14.06.2019	4	4	25	6.25	0	198.5	198.5	173.5	198.5	157.5	198.5
17.06.2019	6	6	119.5	19.92	0	318	318	198.5	318	198.5	318
18.06.2019	10	10	158.5	15.85	0	476.5	476.5	318	544	318	476.5
19.06.2019	7	7	-113.5	-16.21	0	363	363	476.5	477.5	363	363
20.06.2019	6	6	81	13.5	0	444	444	363	444	361	444
21.06.2019	5	5	-87	-17.4	0	357	357	444	465.5	357	357
24.06.2019	6	6	-49	-8.17	0	308	308	357	369	308	308
25.06.2019	3	3	34	11.33	0	342	342	308	365	308	342
26.06.2019	5	5	90.5	18.1	0	432.5	432.5	342	467.5	342	432.5
27.06.2019	7	7	-8.5	-1.21	0	424	424	432.5	461	424	424
28.06.2019	5	5	38.5	7.7	0	462.5	462.5	424	466	424	462.5
01.07.2019	1	1	24.5	24.5	0	487	487	462.5	487	462.5	487
02.07.2019	4	4	74	18.5	0	561	561	487	561	487	561
03.07.2019	4	4	-31	-7.75	0	530	530	561	561	530	530
04.07.2019	6	6	52	8.67	0	582	582	530	582	530	582
05.07.2019	5	5	-17	-3.4	0	565	565	582	582	537.5	565
08.07.2019	6	6	8	1.33	0	573	573	565	573	528	573
09.07.2019	6	6	26.5	4.42	0	599.5	599.5	573	599.5	517	599.5
10.07.2019	7	7	149.5	21.36	0	749	749	599.5	780.5	547	749
11.07.2019	7	7	41	5.86	0	790	790	749	800.5	749	790
12.07.2019	7	7	74.5	10.64	0	864.5	864.5	790	864.5	790	864.5
15.07.2019	5	5	57	11.4	0	921.5	921.5	864.5	921.5	864.5	921.5
16.07.2019	9	9	-44.5	-4.94	0	877	877	921.5	941.5	877	877
17.07.2019	7	7	-21	-3	0	856	856	877	894.5	856	856
18.07.2019	7	7	148.5	21.21	0	1 004.50	1 004.50	856	1 004.50	826.5	1 004.50
19.07.2019	5	5	7	1.4	0	1 011.50	1 011.50	1 004.50	1 091.50	1 004.50	1 011.50
22.07.2019	5	5	135	27	0	1 146.50	1 146.50	1 011.50	1 146.50	1 011.50	1 146.50
23.07.2019	9	9	18.5	2.06	0	1 165.00	1 165.00	1 146.50	1 165.00	1 087.00	1 165.00
24.07.2019	7	7	92	13.14	0	1 257.00	1 257.00	1 165.00	1 257.00	1 150.00	1 257.00
