Date	P.L
22.07.2024	13
23.07.2024	-309.5
24.07.2024	-384.5
25.07.2024	-645.5
26.07.2024	245.5
29.07.2024	170
30.07.2024	219
31.07.2024	564
01.08.2024	7.5
02.08.2024	-898
05.08.2024	175
06.08.2024	-253
07.08.2024	84
08.08.2024	618.5
09.08.2024	263
12.08.2024	-32.5
13.08.2024	303.5
14.08.2024	324
15.08.2024	406.5
16.08.2024	162.5
19.08.2024	77.5
20.08.2024	54.5
21.08.2024	-98
22.08.2024	-284.5
23.08.2024	289
26.08.2024	-252.5
27.08.2024	-104
28.08.2024	-288
29.08.2024	124
30.08.2024	84.5
02.09.2024	42
03.09.2024	-113.5
04.09.2024	-200.5
05.09.2024	120
06.09.2024	114
09.09.2024	501
10.09.2024	-69.5
11.09.2024	588.5
12.09.2024	-96
13.09.2024	14
16.09.2024	-71
17.09.2024	121
18.09.2024	190
19.09.2024	350.5
20.09.2024	97.5
23.09.2024	-69.5
24.09.2024	52
25.09.2024	97.5
26.09.2024	452
27.09.2024	129
30.09.2024	-79.5
01.10.2024	120
02.10.2024	-468.5
03.10.2024	-209
04.10.2024	685
07.10.2024	-235
08.10.2024	411.5
09.10.2024	-99
10.10.2024	-277.5
11.10.2024	-36
14.10.2024	161
15.10.2024	-195.5
16.10.2024	-63.5
17.10.2024	7
18.10.2024	-183.5
21.10.2024	156
22.10.2024	65
23.10.2024	-205
24.10.2024	223
25.10.2024	311
28.10.2024	-118.5
29.10.2024	-37.5
30.10.2024	-18
31.10.2024	-258.5
01.11.2024	-111.5
04.11.2024	-11
05.11.2024	103
06.11.2024	415.5
07.11.2024	307.5
08.11.2024	38
11.11.2024	175
12.11.2024	-127.5
13.11.2024	123
14.11.2024	-289
15.11.2024	-55.5
18.11.2024	-67.5
19.11.2024	89.5
20.11.2024	-67
21.11.2024	417
22.11.2024	-31
25.11.2024	-86
26.11.2024	-124.5
27.11.2024	24.5
28.11.2024	38.5
29.11.2024	-53
02.12.2024	-13
03.12.2024	3
04.12.2024	263.5
05.12.2024	-120
06.12.2024	-66
09.12.2024	-205
10.12.2024	-17.5
11.12.2024	176
12.12.2024	3
13.12.2024	293
16.12.2024	388
17.12.2024	42
18.12.2024	40
19.12.2024	3
20.12.2024	98
23.12.2024	-122.5
24.12.2024	108.5
26.12.2024	109.5
27.12.2024	123.5
30.12.2024	-26.5
31.12.2024	113
02.01.2025	-94
03.01.2025	279.5
06.01.2025	374
07.01.2025	-199
08.01.2025	-353.5
09.01.2025	-11.5
10.01.2025	211.5
13.01.2025	-251
14.01.2025	38
15.01.2025	360
16.01.2025	-519.5
17.01.2025	187
20.01.2025	165.5
21.01.2025	256.5
22.01.2025	315.5
23.01.2025	-120.5
24.01.2025	-59.5
27.01.2025	225.5
28.01.2025	349
29.01.2025	3.5
30.01.2025	119.5
31.01.2025	253.5
03.02.2025	468
04.02.2025	34
05.02.2025	-91.5
06.02.2025	-102.5
07.02.2025	-172.5
10.02.2025	402
11.02.2025	-27
12.02.2025	10.5
13.02.2025	146
14.02.2025	-101.5
17.02.2025	-7
18.02.2025	-91.5
19.02.2025	183
20.02.2025	37
21.02.2025	156.5
24.02.2025	218
25.02.2025	51.5
26.02.2025	-14
27.02.2025	-176.5
28.02.2025	-96.5
03.03.2025	-91.5
04.03.2025	330.5
05.03.2025	-76.5
06.03.2025	-762.5
07.03.2025	4
10.03.2025	-880.5
11.03.2025	392.5
12.03.2025	210
13.03.2025	375
14.03.2025	446.5
17.03.2025	366.5
18.03.2025	-99
19.03.2025	22
20.03.2025	-1.5
21.03.2025	217.5
24.03.2025	4.5
25.03.2025	129
26.03.2025	-137.5
27.03.2025	-382
28.03.2025	-549.5
31.03.2025	-62
01.04.2025	815
02.04.2025	350.5
03.04.2025	-746.5
04.04.2025	-1 552.00
07.04.2025	1 081.00
08.04.2025	-238
09.04.2025	3 108.00
10.04.2025	-846.5
11.04.2025	994.5
14.04.2025	55
15.04.2025	252
16.04.2025	186
17.04.2025	228
21.04.2025	-379
22.04.2025	460
23.04.2025	259
24.04.2025	16.5
25.04.2025	-80.5
28.04.2025	241
29.04.2025	304
30.04.2025	386
01.05.2025	-350
02.05.2025	191
05.05.2025	-177
06.05.2025	-663.5
07.05.2025	-465.5
08.05.2025	319
09.05.2025	173
12.05.2025	720
13.05.2025	243
14.05.2025	198
15.05.2025	100
16.05.2025	143.5
19.05.2025	243.5
20.05.2025	78
21.05.2025	-390.5
22.05.2025	128.5
23.05.2025	95.5
26.05.2025	176.5
27.05.2025	-163.5
28.05.2025	-426
29.05.2025	149.5
30.05.2025	79
02.06.2025	69.5
03.06.2025	27
04.06.2025	-139.5
05.06.2025	-89.5
06.06.2025	11.5
09.06.2025	-49.5
10.06.2025	-18
11.06.2025	49
12.06.2025	-49
13.06.2025	-323.5
16.06.2025	229.5
17.06.2025	-383
18.06.2025	-117.5
19.06.2025	-83
20.06.2025	332
23.06.2025	231
24.06.2025	250.5
25.06.2025	40.5
26.06.2025	122.5
27.06.2025	150
30.06.2025	21.5
01.07.2025	-190.5
02.07.2025	142.5
03.07.2025	38.5
04.07.2025	-274
07.07.2025	-382.5
08.07.2025	-3
09.07.2025	254
10.07.2025	14
11.07.2025	-74
14.07.2025	227.5
15.07.2025	84.5
16.07.2025	11
17.07.2025	-30.5
18.07.2025	121
21.07.2025	141
22.07.2025	-35
23.07.2025	170.5
24.07.2025	-160
25.07.2025	-145
28.07.2025	-48.5
29.07.2025	-142.5
30.07.2025	-105.5
31.07.2025	-277
01.08.2025	-411
04.08.2025	188
05.08.2025	-64.5
06.08.2025	313.5
07.08.2025	254.5
08.08.2025	225
11.08.2025	-114
12.08.2025	266.5
13.08.2025	200.5
14.08.2025	-19
15.08.2025	-14.5
18.08.2025	-40.5
19.08.2025	-87
20.08.2025	258
21.08.2025	-201.5
22.08.2025	137.5
26.08.2025	64.5
27.08.2025	-141
28.08.2025	157
29.08.2025	-434.5
01.09.2025	-24
02.09.2025	246
03.09.2025	-150.5
04.09.2025	11.5
05.09.2025	50
08.09.2025	48.5
09.09.2025	45.5
10.09.2025	215.5
11.09.2025	487.5
12.09.2025	60
15.09.2025	143.5
16.09.2025	-67
17.09.2025	-273.5
18.09.2025	52.5
19.09.2025	97.5
22.09.2025	156
23.09.2025	-144.5
24.09.2025	12
25.09.2025	-158.5
26.09.2025	178
29.09.2025	9.5
30.09.2025	-136
01.10.2025	197.5
02.10.2025	284
03.10.2025	-122.5
06.10.2025	181.5
07.10.2025	92
08.10.2025	382.5
09.10.2025	-108.5
10.10.2025	30
