Date	Deposit	P/L (Net)
23.05.2019	1500	0
24.05.2019	1522.5	22.5
27.05.2019	1550	27.5
28.05.2019	1633.5	83.5
29.05.2019	1626	-7.5
30.05.2019	1638	12
31.05.2019	1515.5	-122.5
03.06.2019	1568	52.5
04.06.2019	1540.5	-27.5
05.06.2019	1555.5	15
06.06.2019	1671.5	116
07.06.2019	1803.5	132
10.06.2019	1777	-26.5
11.06.2019	1787.5	10.5
12.06.2019	1747	-40.5
13.06.2019	1827	80
14.06.2019	1836.5	9.5
17.06.2019	1824	-12.5
18.06.2019	2011.5	187.5
19.06.2019	1955.5	-56
20.06.2019	1992.5	37
21.06.2019	1936.5	-56
24.06.2019	1909	-27.5
25.06.2019	1943	34
26.06.2019	2080.5	137.5
27.06.2019	2087	6.5
28.06.2019	2129	42
02.07.2019	2203	74
03.07.2019	2237.5	34.5
04.07.2019	2251	13.5
05.07.2019	2183.5	-67.5
08.07.2019	2159	-24.5
09.07.2019	2147.5	-11.5
10.07.2019	2345	197.5
11.07.2019	2396.5	51.5
12.07.2019	2406	9.5
15.07.2019	2488.5	82.5
16.07.2019	2424	-64.5
17.07.2019	2435	11
18.07.2019	2583.5	148.5
19.07.2019	2632.5	49
22.07.2019	2759.5	127
23.07.2019	2716	-43.5
24.07.2019	2746	30
25.07.2019	2691.5	-54.5
26.07.2019	2760.5	69
29.07.2019	2818.5	58
30.07.2019	2811	-7.5
31.07.2019	2733	-78
01.08.2019	2897	164
02.08.2019	2749	-148
05.08.2019	2711	-38
06.08.2019	3105	394
07.08.2019	3150.5	45.5
08.08.2019	3245.5	95
09.08.2019	3279.5	34
12.08.2019	3338	58.5
13.08.2019	3069.5	-268.5
14.08.2019	2970.5	-99
15.08.2019	3243.5	273
16.08.2019	3254.5	11
19.08.2019	3313	58.5
20.08.2019	3295.5	-17.5
21.08.2019	3373.5	78
22.08.2019	3404	30.5
23.08.2019	3387	-17
26.08.2019	3527	140
27.08.2019	3603	76
28.08.2019	3593	-10
29.08.2019	3767	174
30.08.2019	3841	74
02.09.2019	3895	54
03.09.2019	3943	48
04.09.2019	4001.5	58.5
05.09.2019	4097	95.5
06.09.2019	4129.5	32.5
09.09.2019	4113.5	-16
10.09.2019	4053	-60.5
11.09.2019	4124	71
12.09.2019	4189	65
13.09.2019	4169.5	-19.5
16.09.2019	4243	73.5
17.09.2019	4303.5	60.5
18.09.2019	4271.5	-32
19.09.2019	4310	38.5
20.09.2019	4336.5	26.5
23.09.2019	4345.5	9
24.09.2019	4349.5	4
25.09.2019	4372	22.5
26.09.2019	4398.5	26.5
27.09.2019	4424.5	26
30.09.2019	4508	83.5
01.10.2019	4522	14
02.10.2019	4521.5	-0.5
03.10.2019	4507.5	-14
04.10.2019	4473	-34.5
07.10.2019	4483.5	10.5
08.10.2019	4579	95.5
09.10.2019	4592	13
10.10.2019	4769.5	177.5
11.10.2019	4793	23.5
14.10.2019	4757.5	-35.5
15.10.2019	4808.5	51
16.10.2019	4795	-13.5
17.10.2019	4776	-19
18.10.2019	4715.5	-60.5
21.10.2019	4741.5	26
22.10.2019	4794.5	53
23.10.2019	4790	-4.5
24.10.2019	4812	22
25.10.2019	4854	42
28.10.2019	4850	-4
29.10.2019	4749	-101
30.10.2019	4748	-1
31.10.2019	4739.5	-8.5
01.11.2019	4763.5	24
04.11.2019	4827	63.5
05.11.2019	4866	39
06.11.2019	4859	-7
07.11.2019	4864	5
08.11.2019	4835	-29
11.11.2019	4856	21
12.11.2019	4855	-1
13.11.2019	4834	-21
14.11.2019	4793.5	-40.5
15.11.2019	4826.5	33
18.11.2019	4889.5	63
19.11.2019	4938	48.5
20.11.2019	4942.5	4.5
21.11.2019	4995.5	53
22.11.2019	5042	46.5
25.11.2019	5089	47
26.11.2019	5073.5	-15.5
27.11.2019	5072	-1.5
28.11.2019	5101	29
29.11.2019	5096	-5
02.12.2019	5173.5	77.5
03.12.2019	5125.5	-48
04.12.2019	5261	135.5
05.12.2019	5235.5	-25.5
06.12.2019	5294.5	59
09.12.2019	5355	60.5
10.12.2019	5351	-4
11.12.2019	5372	21
12.12.2019	5348	-24
13.12.2019	5323.5	-24.5
16.12.2019	5311.5	-12
17.12.2019	5317	5.5
18.12.2019	5306.5	-10.5
19.12.2019	5304.5	-2
20.12.2019	5279.5	-25
23.12.2019	5278	-1.5
24.12.2019	5292	14
26.12.2019	5335.5	43.5
27.12.2019	5335	-0.5
30.12.2019	5344	9
31.12.2019	5404.5	60.5
02.01.2020	5486.5	82
03.01.2020	5510	23.5
06.01.2020	5606	96
07.01.2020	5590.5	-15.5
08.01.2020	5790.5	200
