Date	Deposit	P/L (Net)
09.01.2020	5816	25.5
10.01.2020	5881	65
13.01.2020	5957	76
14.01.2020	5888	-69
15.01.2020	5877.5	-10.5
16.01.2020	5875.5	-2
17.01.2020	5874.5	-1
20.01.2020	5843	-31.5
21.01.2020	5841.5	-1.5
22.01.2020	5927.5	86
23.01.2020	5879.5	-48
24.01.2020	5843.5	-36
27.01.2020	5699.5	-144
28.01.2020	5725	25.5
29.01.2020	5767	42
30.01.2020	5633	-134
31.01.2020	5597	-36
03.02.2020	5776	179
04.02.2020	5795.5	19.5
05.02.2020	5857.5	62
06.02.2020	5900	42.5
07.02.2020	5865.5	-34.5
10.02.2020	5945	79.5
11.02.2020	5924.5	-20.5
12.02.2020	6003.5	79
13.02.2020	5989	-14.5
14.02.2020	5897	-92
17.02.2020	5959.5	62.5
18.02.2020	6029	69.5
19.02.2020	6065.5	36.5
20.02.2020	6113.5	48
21.02.2020	6052	-61.5
24.02.2020	5843	-209
25.02.2020	5820.5	-22.5
26.02.2020	5729	-91.5
27.02.2020	5062	-667
28.02.2020	5347.5	285.5
02.03.2020	5480	132.5
03.03.2020	5429	-51
04.03.2020	5690	261
05.03.2020	5665.5	-24.5
06.03.2020	5871	205.5
09.03.2020	5719	-152
10.03.2020	6250.5	531.5
11.03.2020	5856.5	-394
12.03.2020	5482	-374.5
13.03.2020	5371.5	-110.5
18.03.2020	5557.5	186
19.03.2020	5176.5	-381
20.03.2020	5710.5	534
23.03.2020	5973.5	263
24.03.2020	6514.5	541
25.03.2020	6802	287.5
26.03.2020	6455.5	-346.5
27.03.2020	6127.5	-328
30.03.2020	6500.5	373
31.03.2020	6494	-6.5
01.04.2020	6142.5	-351.5
02.04.2020	6153.5	11
03.04.2020	6048	-105.5
06.04.2020	6246	198
07.04.2020	6452.5	206.5
08.04.2020	6525	72.5
09.04.2020	6484.5	-40.5
13.04.2020	6593	108.5
14.04.2020	6957.5	364.5
15.04.2020	6671	-286.5
16.04.2020	6714	43
17.04.2020	6609	-105
20.04.2020	6644.5	35.5
21.04.2020	6601.5	-43
22.04.2020	6733.5	132
23.04.2020	6819	85.5
24.04.2020	6989	170
27.04.2020	7023.5	34.5
28.04.2020	7203	179.5
29.04.2020	7301.5	98.5
30.04.2020	7317.5	16
01.05.2020	7278	-39.5
04.05.2020	7460.5	182.5
05.05.2020	7729.5	269
06.05.2020	7818.5	89
07.05.2020	7952.5	134
08.05.2020	8088.5	136
11.05.2020	8016.5	-72
12.05.2020	8081.5	65
13.05.2020	8147.5	66
14.05.2020	8193.5	46
15.05.2020	8482.5	289
18.05.2020	8624	141.5
19.05.2020	8853	229
20.05.2020	9109.5	256.5
21.05.2020	9015.5	-94
22.05.2020	8952	-63.5
25.05.2020	9049	97
26.05.2020	9112.5	63.5
27.05.2020	9459	346.5
28.05.2020	9383.5	-75.5
29.05.2020	9324	-59.5
01.06.2020	9533.5	209.5
02.06.2020	9830	296.5
03.06.2020	9849.5	19.5
04.06.2020	9738.5	-111
05.06.2020	9805.5	67
08.06.2020	9926	120.5
09.06.2020	10014	88
10.06.2020	10131	117
11.06.2020	9880.5	-250.5
12.06.2020	10047	166.5
15.06.2020	10234	187
16.06.2020	10268	34
17.06.2020	10257.5	-10.5
18.06.2020	10183.5	-74
19.06.2020	10286	102.5
22.06.2020	10445	159
23.06.2020	10483	38
24.06.2020	10500	17
25.06.2020	10195.5	-304.5
26.06.2020	10087.5	-108
29.06.2020	10133	45.5
30.06.2020	10190	57
01.07.2020	10218.5	28.5
02.07.2020	10322	103.5
03.07.2020	10340	18
06.07.2020	10352.5	12.5
07.07.2020	10387.5	35
08.07.2020	10480.5	93
09.07.2020	10596.5	116
10.07.2020	10614	17.5
13.07.2020	10580.5	-33.5
14.07.2020	10640.5	60
15.07.2020	10705	64.5
16.07.2020	10478	-227
17.07.2020	10542	64
20.07.2020	10465	-77
21.07.2020	10615.5	150.5
22.07.2020	10470	-145.5
23.07.2020	10470	0
24.07.2020	10441.5	-28.5
27.07.2020	10861	419.5
28.07.2020	10841	-20
29.07.2020	10833	-8
30.07.2020	10791	-42
31.07.2020	11057.5	266.5
03.08.2020	11265	207.5
04.08.2020	11241	-24
05.08.2020	11233.5	-7.5
06.08.2020	11262.5	29
07.08.2020	11301	38.5
10.08.2020	11209	-92
11.08.2020	11089	-120
12.08.2020	11351.5	262.5
13.08.2020	11393.5	42
14.08.2020	11455.5	62
17.08.2020	11498	42.5
18.08.2020	11444.5	-53.5
19.08.2020	11435.5	-9
20.08.2020	11749	313.5
21.08.2020	11724	-25
24.08.2020	11799	75
25.08.2020	11876.5	77.5
26.08.2020	11861.5	-15
27.08.2020	11916	54.5
28.08.2020	12137.5	221.5
31.08.2020	12088	-49.5
01.09.2020	12222	134
02.09.2020	12446.5	224.5
03.09.2020	12137	-309.5
04.09.2020	12334	197
07.09.2020	12375	41
08.09.2020	12156	-219
09.09.2020	12246.5	90.5
10.09.2020	12231.5	-15
11.09.2020	12253.5	22
14.09.2020	12338	84.5
15.09.2020	12617.5	279.5
16.09.2020	12652.5	35
17.09.2020	12527.5	-125
18.09.2020	12369.5	-158
21.09.2020	12262.5	-107
22.09.2020	12190.5	-72
23.09.2020	12174.5	-16
24.09.2020	12190.5	16
25.09.2020	12351	160.5
28.09.2020	12543.5	192.5
29.09.2020	12518	-25.5
30.09.2020	12480.5	-37.5
01.10.2020	12477.5	-3
02.10.2020	12249	-228.5
05.10.2020	12118.5	-130.5
06.10.2020	11978	-140.5
07.10.2020	12161	183
08.10.2020	12202	41
09.10.2020	12346.5	144.5
12.10.2020	12272	-74.5
13.10.2020	12294.5	22.5
14.10.2020	12337.5	43
15.10.2020	12379.5	42
16.10.2020	12297.5	-82
19.10.2020	12252.5	-45
20.10.2020	12272.5	20
21.10.2020	12455.5	183
22.10.2020	12370	-85.5
23.10.2020	12409.5	39.5
26.10.2020	12554.5	145
27.10.2020	12669.5	115
28.10.2020	12666.5	-3
29.10.2020	12724.5	58
30.10.2020	12574	-150.5
02.11.2020	12678.5	104.5
03.11.2020	12668	-10.5
04.11.2020	13168	500
05.11.2020	13321	153
06.11.2020	13418	97
09.11.2020	13424	6
10.11.2020	13377	-47
11.11.2020	13312.5	-64.5
12.11.2020	13482	169.5
13.11.2020	13553	71
16.11.2020	13378.5	-174.5
17.11.2020	13292	-86.5
18.11.2020	13165.5	-126.5
19.11.2020	13111	-54.5
20.11.2020	13147	36
23.11.2020	13121.5	-25.5
24.11.2020	13082.5	-39
25.11.2020	13071.5	-11
26.11.2020	13011	-60.5
27.11.2020	12977	-34
30.11.2020	12952	-25
01.12.2020	13065	113
02.12.2020	13047	-18
03.12.2020	13092	45
04.12.2020	13131	39
07.12.2020	13062.5	-68.5
08.12.2020	13204	141.5
09.12.2020	13145	-59
10.12.2020	13163.5	18.5
11.12.2020	13089	-74.5
14.12.2020	13214.5	125.5
15.12.2020	13304	89.5
16.12.2020	13351	47
17.12.2020	13417.5	66.5
18.12.2020	13484.5	67
21.12.2020	13681	196.5
22.12.2020	13610.5	-70.5
23.12.2020	13659.5	49
24.12.2020	13675.5	16
28.12.2020	13730	54.5
29.12.2020	13683.5	-46.5
30.12.2020	13741.5	58
31.12.2020	13699	-42.5
04.01.2021	13748.5	49.5
05.01.2021	13717.5	-31
06.01.2021	13571.5	-146
07.01.2021	13615.5	44
08.01.2021	13456.5	-159
11.01.2021	13356.5	-100
12.01.2021	13280	-76.5
13.01.2021	13219	-61
14.01.2021	13222.5	3.5
15.01.2021	13097	-125.5
18.01.2021	13080	-17
19.01.2021	13058	-22
20.01.2021	13142.5	84.5
21.01.2021	13201.5	59
22.01.2021	13124	-77.5
25.01.2021	13167	43
26.01.2021	13251.5	84.5
27.01.2021	12924.5	-327
28.01.2021	13185.5	261
29.01.2021	13235	49.5
01.02.2021	13452.5	217.5
02.02.2021	13656.5	204
03.02.2021	13696	39.5
04.02.2021	13745	49
05.02.2021	13862.5	117.5
08.02.2021	13818	-44.5
09.02.2021	13849.5	31.5
10.02.2021	14044.5	195
11.02.2021	14087	42.5
12.02.2021	14011.5	-75.5
15.02.2021	14040	28.5
16.02.2021	13985.5	-54.5
17.02.2021	13903	-82.5
18.02.2021	13896.5	-6.5
19.02.2021	13959	62.5
22.02.2021	13685.5	-273.5
23.02.2021	13663.5	-22
24.02.2021	13810.5	147
25.02.2021	13462.5	-348
26.02.2021	13143	-319.5
01.03.2021	13222	79
02.03.2021	13204.5	-17.5
03.03.2021	13176.5	-28
04.03.2021	12705.5	-471
05.03.2021	13309.5	604
08.03.2021	13202	-107.5
09.03.2021	13426.5	224.5
10.03.2021	13336.5	-90
11.03.2021	13380.5	44
12.03.2021	13323	-57.5
15.03.2021	13320.5	-2.5
16.03.2021	13473	152.5
17.03.2021	13509	36
18.03.2021	13420.5	-88.5
19.03.2021	13508	87.5
22.03.2021	13567	59
23.03.2021	13382.5	-184.5
24.03.2021	13280	-102.5
25.03.2021	13337	57
26.03.2021	13472.5	135.5
29.03.2021	13647	174.5
30.03.2021	13548.5	-98.5
31.03.2021	13646	97.5
01.04.2021	13625.5	-20.5
02.04.2021	13724.5	99
05.04.2021	13785	60.5
06.04.2021	13640.5	-144.5
07.04.2021	13674.5	34
08.04.2021	13732.5	58
09.04.2021	13773.5	41
12.04.2021	13733	-40.5
13.04.2021	13796.5	63.5
14.04.2021	13861.5	65
15.04.2021	13939.5	78
16.04.2021	13984.5	45
19.04.2021	14128	143.5
20.04.2021	14047.5	-80.5
21.04.2021	14101.5	54
22.04.2021	14122	20.5
23.04.2021	14081	-41
26.04.2021	14046.5	-34.5
27.04.2021	14046	-0.5
28.04.2021	14039.5	-6.5
29.04.2021	14031.5	-8
30.04.2021	14008	-23.5
03.05.2021	14108.5	100.5
04.05.2021	14207	98.5
05.05.2021	14162.5	-44.5
06.05.2021	14544	381.5
07.05.2021	14456	-88
10.05.2021	14157.5	-298.5
11.05.2021	14185	27.5
12.05.2021	13881.5	-303.5
13.05.2021	13795.5	-86
14.05.2021	13872.5	77
17.05.2021	13464	-408.5
18.05.2021	13554.5	90.5
19.05.2021	13435	-119.5
20.05.2021	13564.5	129.5
21.05.2021	13540	-24.5
24.05.2021	13715.5	175.5
25.05.2021	13703	-12.5
26.05.2021	13571.5	-131.5
27.05.2021	13493	-78.5
28.05.2021	13556	63
31.05.2021	13507	-49
01.06.2021	13554	47
02.06.2021	13553	-1
03.06.2021	13547.5	-5.5
04.06.2021	13619.5	72
07.06.2021	13622	2.5
08.06.2021	13648	26
09.06.2021	13561.5	-86.5
10.06.2021	13534.5	-27
11.06.2021	13472.5	-62
14.06.2021	13469	-3.5
15.06.2021	13461.5	-7.5
16.06.2021	13308	-153.5
17.06.2021	13589	281
18.06.2021	13491	-98
21.06.2021	13640	149
22.06.2021	13657	17
23.06.2021	13596	-61
24.06.2021	13655.5	59.5
25.06.2021	13681.5	26
28.06.2021	13642	-39.5
29.06.2021	13744.5	102.5
30.06.2021	13681	-63.5
01.07.2021	13726.5	45.5
02.07.2021	13847.5	121
05.07.2021	13797.5	-50
06.07.2021	13785	-12.5
07.07.2021	13903	118
08.07.2021	13672.5	-230.5
09.07.2021	13733	60.5
12.07.2021	13751.5	18.5
13.07.2021	13802	50.5
14.07.2021	13661.5	-140.5
15.07.2021	13653	-8.5
16.07.2021	13581.5	-71.5
19.07.2021	13487	-94.5
20.07.2021	13477	-10
21.07.2021	13440.5	-36.5
22.07.2021	13489	48.5
23.07.2021	13489.5	0.5
26.07.2021	13501.5	12
27.07.2021	13468	-33.5
28.07.2021	13548	80
29.07.2021	13570	22
30.07.2021	13651	81
02.08.2021	13712.5	61.5
03.08.2021	13709	-3.5
04.08.2021	13707	-2
05.08.2021	13694.5	-12.5
06.08.2021	13621	-73.5
09.08.2021	13744	123
10.08.2021	13677.5	-66.5
11.08.2021	13679.5	2
12.08.2021	13688	8.5
13.08.2021	13633.5	-54.5
16.08.2021	13558.5	-75
17.08.2021	13513.5	-45
18.08.2021	13498.5	-15
19.08.2021	13424.5	-74
20.08.2021	13369.5	-55
23.08.2021	13505.5	136
24.08.2021	13570	64.5
25.08.2021	13556.5	-13.5
26.08.2021	13551	-5.5
27.08.2021	13530	-21
30.08.2021	13589.5	59.5
31.08.2021	13598	8.5
01.09.2021	13630.5	32.5
02.09.2021	13666.5	36
03.09.2021	13704.5	38
06.09.2021	13727.5	23
07.09.2021	13786.5	59
08.09.2021	13839.5	53
09.09.2021	13797.5	-42
10.09.2021	13837	39.5
13.09.2021	13842.5	5.5
14.09.2021	13750.5	-92
15.09.2021	13935	184.5
16.09.2021	13795	-140
17.09.2021	13668	-127
20.09.2021	13646.5	-21.5
21.09.2021	13793.5	147
22.09.2021	14042	248.5
23.09.2021	14220	178
24.09.2021	14151.5	-68.5
27.09.2021	14295.5	144
28.09.2021	14127	-168.5
29.09.2021	14217	90
30.09.2021	14110	-107
01.10.2021	13947	-163
04.10.2021	13911.5	-35.5
05.10.2021	14116.5	205
06.10.2021	14014.5	-102
07.10.2021	14235	220.5
08.10.2021	14180.5	-54.5
11.10.2021	14085	-95.5
12.10.2021	14159	74
13.10.2021	14274.5	115.5
14.10.2021	14481.5	207
15.10.2021	14710.5	229
18.10.2021	14781.5	71
19.10.2021	14920	138.5
20.10.2021	14913.5	-6.5
21.10.2021	14969.5	56
22.10.2021	15012	42.5
25.10.2021	15001.5	-10.5
26.10.2021	15079.5	78
27.10.2021	14957	-122.5
28.10.2021	14930.5	-26.5
29.10.2021	15039.5	109
01.11.2021	14946.5	-93
02.11.2021	15093	146.5
03.11.2021	15103.5	10.5
04.11.2021	15296.5	193
05.11.2021	15357.5	61
08.11.2021	15370.5	13
09.11.2021	15396	25.5
10.11.2021	15546	150
11.11.2021	15730.5	184.5
12.11.2021	15636.5	-94
15.11.2021	15596.5	-40
16.11.2021	15751.5	155
17.11.2021	15761.5	10
18.11.2021	15731	-30.5
19.11.2021	15798.5	67.5
22.11.2021	15954	155.5
23.11.2021	15696	-258
24.11.2021	15677.5	-18.5
25.11.2021	15704.5	27
26.11.2021	15472.5	-232
29.11.2021	15817	344.5
30.11.2021	15809	-8
01.12.2021	15960	151
02.12.2021	16230	270
03.12.2021	16139.5	-90.5
06.12.2021	16081.5	-58
07.12.2021	16389.5	308
08.12.2021	16421	31.5
09.12.2021	16445.5	24.5
10.12.2021	16435	-10.5
13.12.2021	16473	38
14.12.2021	16289.5	-183.5
15.12.2021	16243	-46.5
16.12.2021	16373.5	130.5
17.12.2021	15992	-381.5
20.12.2021	15765.5	-226.5
21.12.2021	16288.5	523
22.12.2021	16299	10.5
23.12.2021	16389.5	90.5
27.12.2021	16523	133.5
28.12.2021	16560.5	37.5
29.12.2021	16493	-67.5
30.12.2021	16385	-108
31.12.2021	16246.5	-138.5
03.01.2022	16164.5	-82
04.01.2022	16188.5	24
05.01.2022	16203	14.5
06.01.2022	16133.5	-69.5
07.01.2022	16127	-6.5
10.01.2022	16186.5	59.5
11.01.2022	16165	-21.5
12.01.2022	16231.5	66.5
13.01.2022	16237.5	6
14.01.2022	16071	-166.5
17.01.2022	16116	45
18.01.2022	16091	-25
19.01.2022	15742	-349
20.01.2022	15970.5	228.5
21.01.2022	15882	-88.5
24.01.2022	15839.5	-42.5
25.01.2022	15718	-121.5
26.01.2022	16247.5	529.5
27.01.2022	16649	401.5
28.01.2022	16682	33
31.01.2022	16726	44
01.02.2022	16762.5	36.5
02.02.2022	16953	190.5
03.02.2022	17078.5	125.5
04.02.2022	17130	51.5
07.02.2022	17339.5	209.5
08.02.2022	17145.5	-194
09.02.2022	17243	97.5
10.02.2022	17486	243
11.02.2022	17274	-212
14.02.2022	17034	-240
15.02.2022	17170	136
16.02.2022	17114.5	-55.5
17.02.2022	17142.5	28
18.02.2022	17242.5	100
21.02.2022	17480	237.5
22.02.2022	18095	615
23.02.2022	17907.5	-187.5
24.02.2022	17690.5	-217
25.02.2022	17644.5	-46
28.02.2022	18031.5	387
01.03.2022	17905.5	-126
02.03.2022	18481.5	576
03.03.2022	18471.5	-10
04.03.2022	18452	-19.5
07.03.2022	18539	87
08.03.2022	18476	-63
09.03.2022	18592	116
10.03.2022	18369	-223
11.03.2022	18245.5	-123.5
14.03.2022	18222	-23.5
15.03.2022	17869.5	-352.5
16.03.2022	17823.5	-46
17.03.2022	18023	199.5
18.03.2022	18108	85
21.03.2022	18415.5	307.5
22.03.2022	18486.5	71
23.03.2022	18335.5	-151
24.03.2022	18458.5	123
25.03.2022	18494.5	36
28.03.2022	18804.5	310
29.03.2022	18845	40.5
30.03.2022	18438.5	-406.5
31.03.2022	18345.5	-93
01.04.2022	18363	17.5
04.04.2022	18890	527
05.04.2022	18654	-236
06.04.2022	18559.5	-94.5
07.04.2022	18888.5	329
08.04.2022	18724.5	-164
11.04.2022	18642.5	-82
12.04.2022	19195	552.5
13.04.2022	19461.5	266.5
14.04.2022	19447.5	-14
18.04.2022	19480	32.5
19.04.2022	19432.5	-47.5
20.04.2022	19707	274.5
21.04.2022	19950.5	243.5
22.04.2022	19993	42.5
25.04.2022	20017	24
26.04.2022	19733.5	-283.5
27.04.2022	19888	154.5
28.04.2022	19749	-139
29.04.2022	19732	-17
02.05.2022	19376.5	-355.5
03.05.2022	19535	158.5
04.05.2022	19517.5	-17.5
05.05.2022	19346	-171.5
06.05.2022	19325.5	-20.5
09.05.2022	19078.5	-247
10.05.2022	19239	160.5
11.05.2022	19320.5	81.5
12.05.2022	18845.5	-475
13.05.2022	19339.5	494
16.05.2022	19196	-143.5
17.05.2022	19267	71
18.05.2022	19112.5	-154.5
19.05.2022	18977	-135.5
20.05.2022	19131.5	154.5
23.05.2022	18876	-255.5
24.05.2022	18721.5	-154.5
25.05.2022	18589.5	-132
26.05.2022	19231	641.5
27.05.2022	19528	297
30.05.2022	19732	204
31.05.2022	19558	-174
01.06.2022	19534.5	-23.5
02.06.2022	19629	94.5
03.06.2022	19504	-125
06.06.2022	19532	28
07.06.2022	19344.5	-187.5
08.06.2022	19345	0.5
09.06.2022	19206	-139
10.06.2022	19313.5	107.5
13.06.2022	19107.5	-206
14.06.2022	19139.5	32
15.06.2022	19213.5	74
16.06.2022	19039.5	-174
17.06.2022	19475.5	436
20.06.2022	19497	21.5
21.06.2022	19935	438
22.06.2022	19915	-20
23.06.2022	20181	266
24.06.2022	20565.5	384.5
27.06.2022	20506.5	-59
28.06.2022	20552.5	46
29.06.2022	20358	-194.5
30.06.2022	20287	-71
01.07.2022	20402	115
04.07.2022	20463	61
05.07.2022	20465.5	2.5
06.07.2022	20613.5	148
07.07.2022	20593	-20.5
08.07.2022	20587.5	-5.5
11.07.2022	20398.5	-189
12.07.2022	20154	-244.5
13.07.2022	20228	74
14.07.2022	20574.5	346.5
15.07.2022	20515	-59.5
18.07.2022	20546.5	31.5
19.07.2022	20442.5	-104
20.07.2022	20351.5	-91
21.07.2022	20347	-4.5
22.07.2022	20315	-32
25.07.2022	20321	6
26.07.2022	20339.5	18.5
27.07.2022	20469.5	130
28.07.2022	20786	316.5
29.07.2022	20969	183
01.08.2022	20772	-197
02.08.2022	21094	322
03.08.2022	21422	328
04.08.2022	21320	-102
05.08.2022	21440	120
08.08.2022	21661.5	221.5
09.08.2022	21667.5	6
10.08.2022	21694.5	27
11.08.2022	21481.5	-213
12.08.2022	21490.5	9
15.08.2022	21538.5	48
16.08.2022	21480	-58.5
17.08.2022	21382	-98
18.08.2022	21526	144
19.08.2022	21527	1
22.08.2022	21524	-3
23.08.2022	21598.5	74.5
24.08.2022	21550	-48.5
25.08.2022	21847	297
26.08.2022	21713	-134
29.08.2022	21920.5	207.5
30.08.2022	22043.5	123
31.08.2022	22032	-11.5
01.09.2022	22166	134
02.09.2022	22196	30
05.09.2022	21979	-217
06.09.2022	22095	116
07.09.2022	22343.5	248.5
08.09.2022	22489.5	146
09.09.2022	22826.5	337
12.09.2022	23008	181.5
13.09.2022	22962.5	-45.5
14.09.2022	22846	-116.5
15.09.2022	22762.5	-83.5
16.09.2022	22638.5	-124
19.09.2022	22424.5	-214
20.09.2022	22332	-92.5
21.09.2022	22280	-52
22.09.2022	22392	112
23.09.2022	22162	-230
26.09.2022	22335	173
27.09.2022	22408.5	73.5
28.09.2022	22378	-30.5
29.09.2022	22252	-126
30.09.2022	22333.5	81.5
03.10.2022	22574.5	241
04.10.2022	22915.5	341
05.10.2022	22629.5	-286
06.10.2022	22599.5	-30
07.10.2022	22337.5	-262
10.10.2022	22493	155.5
11.10.2022	22319.5	-173.5
12.10.2022	22410	90.5
13.10.2022	22923	513
14.10.2022	22985	62
17.10.2022	23043.5	58.5
18.10.2022	23211	167.5
19.10.2022	23141.5	-69.5
20.10.2022	23180	38.5
21.10.2022	23164	-16
24.10.2022	22777	-387
25.10.2022	22718	-59
26.10.2022	22701.5	-16.5
27.10.2022	22273.5	-428
28.10.2022	22361.5	88
31.10.2022	22384.5	23
01.11.2022	22378.5	-6
02.11.2022	22343	-35.5
03.11.2022	22078.5	-264.5
04.11.2022	22121	42.5
07.11.2022	22287.5	166.5
08.11.2022	22334.5	47
09.11.2022	22311.5	-23
10.11.2022	22221	-90.5
11.11.2022	22156	-65
14.11.2022	22095	-61
15.11.2022	22203	108
16.11.2022	22149	-54
17.11.2022	22349	200
18.11.2022	22270	-79
21.11.2022	22022	-248
22.11.2022	22110	88
23.11.2022	22228	118
24.11.2022	22292	64
25.11.2022	22266	-26
28.11.2022	22354.5	88.5
29.11.2022	22383.5	29
30.11.2022	22454.5	71
01.12.2022	22414	-40.5
02.12.2022	22454	40
05.12.2022	22346	-108
06.12.2022	22261	-85
07.12.2022	22175	-86
08.12.2022	22411.5	236.5
09.12.2022	22587.5	176
12.12.2022	22705.5	118
13.12.2022	22728.5	23
14.12.2022	22797.5	69
15.12.2022	22721	-76.5
16.12.2022	22705	-16
19.12.2022	22629	-76
20.12.2022	22714	85
21.12.2022	22908.5	194.5
22.12.2022	22825	-83.5
23.12.2022	22729.5	-95.5
27.12.2022	22711.5	-18
28.12.2022	22680	-31.5
29.12.2022	22850	170
30.12.2022	22743	-107
03.01.2023	22841.5	98.5
04.01.2023	22880	38.5
05.01.2023	22938	58
06.01.2023	23227.5	289.5
09.01.2023	23240	12.5
10.01.2023	23238.5	-1.5
11.01.2023	23297	58.5
12.01.2023	23355	58
13.01.2023	23404	49
16.01.2023	23539.5	135.5
17.01.2023	23433.5	-106
18.01.2023	23484.5	51
19.01.2023	23524.5	40
20.01.2023	23782.5	258
23.01.2023	23756.5	-26
24.01.2023	23736.5	-20
25.01.2023	24041.5	305
26.01.2023	24110.5	69
27.01.2023	24097.5	-13
30.01.2023	23871	-226.5
31.01.2023	23987	116
01.02.2023	24047	60
02.02.2023	24153	106
03.02.2023	24522	369
06.02.2023	24177	-345
07.02.2023	24458	281
08.02.2023	24397.5	-60.5
09.02.2023	24579	181.5
10.02.2023	24666	87
13.02.2023	24831	165
14.02.2023	24850	19
15.02.2023	24918.5	68.5
16.02.2023	24982	63.5
17.02.2023	24779	-203
20.02.2023	24777.5	-1.5
21.02.2023	24662	-115.5
22.02.2023	24500	-162
23.02.2023	24529.5	29.5
