Date	Deposit	P/L (Net)
23.05.2019	1 500.00	0
24.05.2019	1 444.50	-55.5
27.05.2019	1 458.50	14
28.05.2019	1 546.50	88
29.05.2019	1 465.00	-81.5
30.05.2019	1 458.50	-6.5
31.05.2019	1 336.00	-122.5
03.06.2019	1 307.00	-29
04.06.2019	1 389.50	82.5
05.06.2019	1 445.50	56
06.06.2019	1 638.00	192.5
07.06.2019	1 760.00	122
10.06.2019	1 682.00	-78
11.06.2019	1 715.50	33.5
12.06.2019	1 644.00	-71.5
13.06.2019	1 790.50	146.5
14.06.2019	1 778.50	-12
17.06.2019	1 861.50	83
18.06.2019	2 020.00	158.5
19.06.2019	1 906.50	-113.5
20.06.2019	1 987.50	81
21.06.2019	1 906.50	-81
24.06.2019	1 857.50	-49
25.06.2019	1 891.50	34
26.06.2019	1 994.00	102.5
27.06.2019	1 977.50	-16.5
28.06.2019	2 016.00	38.5
01.07.2019	2 040.50	24.5
02.07.2019	2 114.50	74
03.07.2019	2 083.50	-31
04.07.2019	2 135.50	52
05.07.2019	2 147.00	11.5
08.07.2019	2 155.00	8
09.07.2019	2 181.50	26.5
10.07.2019	2 406.00	224.5
11.07.2019	2 400.00	-6
12.07.2019	2 474.50	74.5
15.07.2019	2 531.50	57
16.07.2019	2 456.50	-75
17.07.2019	2 435.50	-21
18.07.2019	2 584.00	148.5
19.07.2019	2 551.00	-33
22.07.2019	2 686.00	135
23.07.2019	2 704.50	18.5
24.07.2019	2 796.50	92
25.07.2019	2 749.00	-47.5
26.07.2019	2 844.00	95
29.07.2019	2 871.00	27
30.07.2019	2 864.50	-6.5
31.07.2019	2 786.50	-78
01.08.2019	2 905.00	118.5
02.08.2019	2 630.00	-275
05.08.2019	2 502.00	-128
06.08.2019	2 948.00	446
07.08.2019	3 157.50	209.5
08.08.2019	3 420.00	262.5
09.08.2019	3 533.50	113.5
12.08.2019	3 445.50	-88
13.08.2019	3 568.00	122.5
14.08.2019	3 382.00	-186
15.08.2019	3 479.50	97.5
16.08.2019	3 512.00	32.5
19.08.2019	3 585.50	73.5
20.08.2019	3 508.00	-77.5
21.08.2019	3 534.00	26
22.08.2019	3 556.50	22.5
23.08.2019	3 411.50	-145
26.08.2019	3 459.50	48
27.08.2019	3 554.50	95
28.08.2019	3 461.50	-93
29.08.2019	3 601.00	139.5
30.08.2019	3 637.00	36
02.09.2019	3 727.50	90.5
03.09.2019	3 784.50	57
04.09.2019	3 886.50	102
05.09.2019	4 011.50	125
06.09.2019	4 003.00	-8.5
09.09.2019	4 016.50	13.5
10.09.2019	4 090.00	73.5
11.09.2019	4 134.00	44
12.09.2019	4 163.50	29.5
13.09.2019	4 064.00	-99.5
16.09.2019	4 174.00	110
17.09.2019	4 208.00	34
