Run_Start	Date	Contracts	PnL_Today	Cumulative_PnL	Peak_PnL	Trailing_Floor
2019-05-23	2019-05-23	3	0.0	0.0	0.0	-3000.0
2019-05-23	2019-05-24	3	67.5	67.5	0.0	-3000.0
2019-05-23	2019-05-27	3	100.5	168.0	67.5	-2932.5
2019-05-23	2019-05-28	3	82.5	250.5	168.0	-2832.0
2019-05-23	2019-05-29	3	-73.5	177.0	250.5	-2749.5
2019-05-23	2019-05-30	3	142.5	319.5	250.5	-2749.5
2019-05-23	2019-05-31	3	-151.5	168.0	319.5	-2680.5
2019-05-23	2019-06-03	3	15.0	183.0	319.5	-2680.5
2019-05-23	2019-06-04	3	-82.5	100.5	319.5	-2680.5
2019-05-23	2019-06-05	3	45.0	145.5	319.5	-2680.5
2019-05-23	2019-06-06	3	217.5	363.0	319.5	-2680.5
2019-05-23	2019-06-07	3	127.5	490.5	363.0	-2637.0
2019-05-23	2019-06-10	3	-79.5	411.0	490.5	-2509.5
2019-05-23	2019-06-11	3	31.5	442.5	490.5	-2509.5
2019-05-23	2019-06-12	3	-136.5	306.0	490.5	-2509.5
2019-05-23	2019-06-13	3	342.0	648.0	490.5	-2509.5
2019-05-23	2019-06-14	3	28.5	676.5	648.0	-2352.0
2019-05-23	2019-06-17	3	13.5	690.0	676.5	-2323.5
2019-05-23	2019-06-18	3	6.0	696.0	690.0	-2310.0
2019-05-23	2019-06-19	3	3.0	699.0	696.0	-2304.0
2019-05-23	2019-06-20	3	52.5	751.5	699.0	-2301.0
2019-05-23	2019-06-21	3	64.5	816.0	751.5	-2248.5
2019-05-23	2019-06-24	3	1.5	817.5	816.0	-2184.0
2019-05-23	2019-06-25	3	171.0	988.5	817.5	-2182.5
2019-05-23	2019-06-26	3	64.5	1053.0	988.5	-2011.5
2019-05-23	2019-06-27	3	85.5	1138.5	1053.0	-1947.0
2019-05-23	2019-06-28	3	126.0	1264.5	1138.5	-1861.5
2019-05-23	2019-07-02	3	19.5	1284.0	1264.5	-1735.5
2019-05-23	2019-07-03	3	-12.0	1272.0	1284.0	-1716.0
2019-05-23	2019-07-04	3	3.0	1275.0	1284.0	-1716.0
2019-05-23	2019-07-05	3	-76.5	1198.5	1284.0	-1716.0
2019-05-23	2019-07-08	3	-12.0	1186.5	1284.0	-1716.0
2019-05-23	2019-07-09	3	-115.5	1071.0	1284.0	-1716.0
2019-05-23	2019-07-10	3	-108.0	963.0	1284.0	-1716.0
2019-05-23	2019-07-11	3	103.5	1066.5	1284.0	-1716.0
2019-05-23	2019-07-12	3	55.5	1122.0	1284.0	-1716.0
2019-05-23	2019-07-15	3	100.5	1222.5	1284.0	-1716.0
2019-05-23	2019-07-16	3	18.0	1240.5	1284.0	-1716.0
2019-05-23	2019-07-17	3	49.5	1290.0	1284.0	-1716.0
2019-05-23	2019-07-18	3	22.5	1312.5	1290.0	-1710.0
2019-05-23	2019-07-19	3	91.5	1404.0	1312.5	-1687.5
2019-05-23	2019-07-22	3	97.5	1501.5	1404.0	-1596.0
2019-05-23	2019-07-23	3	-43.5	1458.0	1501.5	-1498.5
2019-05-23	2019-07-24	3	36.0	1494.0	1501.5	-1498.5
2019-05-23	2019-07-25	3	-9.0	1485.0	1501.5	-1498.5
2019-05-23	2019-07-26	3	51.0	1536.0	1501.5	-1498.5
2019-05-23	2019-07-29	3	-18.0	1518.0	1536.0	-1464.0
2019-05-23	2019-07-30	3	-58.5	1459.5	1536.0	-1464.0
2019-05-23	2019-07-31	3	-100.5	1359.0	1536.0	-1464.0
2019-05-23	2019-08-01	3	69.0	1428.0	1536.0	-1464.0
2019-05-23	2019-08-02	3	-232.5	1195.5	1536.0	-1464.0
2019-05-23	2019-08-05	3	-19.5	1176.0	1536.0	-1464.0
2019-05-23	2019-08-06	3	1107.0	2283.0	1536.0	-1464.0
2019-05-23	2019-08-07	3	136.5	2419.5	2283.0	-717.0
2019-05-23	2019-08-08	3	285.0	2704.5	2419.5	-580.5
2019-05-23	2019-08-09	3	202.5	2907.0	2704.5	-295.5
2019-05-23	2019-08-12	3	175.5	3082.5	2907.0	-93.0
2019-05-24	2019-05-24	3	67.5	67.5	0.0	-3000.0
2019-05-24	2019-05-27	3	100.5	168.0	67.5	-2932.5
2019-05-24	2019-05-28	3	82.5	250.5	168.0	-2832.0
2019-05-24	2019-05-29	3	-73.5	177.0	250.5	-2749.5
2019-05-24	2019-05-30	3	142.5	319.5	250.5	-2749.5
2019-05-24	2019-05-31	3	-151.5	168.0	319.5	-2680.5
2019-05-24	2019-06-03	3	15.0	183.0	319.5	-2680.5
2019-05-24	2019-06-04	3	-82.5	100.5	319.5	-2680.5
2019-05-24	2019-06-05	3	45.0	145.5	319.5	-2680.5
2019-05-24	2019-06-06	3	217.5	363.0	319.5	-2680.5
2019-05-24	2019-06-07	3	127.5	490.5	363.0	-2637.0
2019-05-24	2019-06-10	3	-79.5	411.0	490.5	-2509.5
2019-05-24	2019-06-11	3	31.5	442.5	490.5	-2509.5
2019-05-24	2019-06-12	3	-136.5	306.0	490.5	-2509.5
2019-05-24	2019-06-13	3	342.0	648.0	490.5	-2509.5
2019-05-24	2019-06-14	3	28.5	676.5	648.0	-2352.0
2019-05-24	2019-06-17	3	13.5	690.0	676.5	-2323.5
2019-05-24	2019-06-18	3	6.0	696.0	690.0	-2310.0
2019-05-24	2019-06-19	3	3.0	699.0	696.0	-2304.0
2019-05-24	2019-06-20	3	52.5	751.5	699.0	-2301.0
2019-05-24	2019-06-21	3	64.5	816.0	751.5	-2248.5
2019-05-24	2019-06-24	3	1.5	817.5	816.0	-2184.0
2019-05-24	2019-06-25	3	171.0	988.5	817.5	-2182.5
2019-05-24	2019-06-26	3	64.5	1053.0	988.5	-2011.5
2019-05-24	2019-06-27	3	85.5	1138.5	1053.0	-1947.0
2019-05-24	2019-06-28	3	126.0	1264.5	1138.5	-1861.5
2019-05-24	2019-07-02	3	19.5	1284.0	1264.5	-1735.5
2019-05-24	2019-07-03	3	-12.0	1272.0	1284.0	-1716.0
2019-05-24	2019-07-04	3	3.0	1275.0	1284.0	-1716.0
2019-05-24	2019-07-05	3	-76.5	1198.5	1284.0	-1716.0
2019-05-24	2019-07-08	3	-12.0	1186.5	1284.0	-1716.0
2019-05-24	2019-07-09	3	-115.5	1071.0	1284.0	-1716.0
2019-05-24	2019-07-10	3	-108.0	963.0	1284.0	-1716.0
2019-05-24	2019-07-11	3	103.5	1066.5	1284.0	-1716.0
2019-05-24	2019-07-12	3	55.5	1122.0	1284.0	-1716.0
2019-05-24	2019-07-15	3	100.5	1222.5	1284.0	-1716.0
2019-05-24	2019-07-16	3	18.0	1240.5	1284.0	-1716.0
2019-05-24	2019-07-17	3	49.5	1290.0	1284.0	-1716.0
2019-05-24	2019-07-18	3	22.5	1312.5	1290.0	-1710.0
