Ticket	Entry_time	Exit_time	MAE	MFE	PNL
3	2019.05.24 02:30:20	2019.05.24 02:31:40	-12.5	0	-12.5
5	2019.05.24 03:00:40	2019.05.24 08:30:00	-4	37.5	33.5
7	2019.05.24 09:40:40	2019.05.24 10:10:40	-11	10	-11
12	2019.05.27 07:02:01	2019.05.27 07:11:40	-8.5	0	-8.5
14	2019.05.27 08:30:40	2019.05.27 09:30:00	-13	34	26.5
16	2019.05.28 01:46:40	2019.05.28 05:00:00	-11	35.5	35.5
19	2019.05.28 08:36:40	2019.05.28 09:16:40	-22	3	-22
21	2019.05.29 01:32:00	2019.05.29 02:22:40	-23	3	-23
23	2019.05.29 03:00:20	2019.05.29 03:09:40	-16	1	-16
25	2019.05.29 04:31:40	2019.05.29 04:39:40	-21	1	-21
28	2019.05.29 06:33:20	2019.05.29 08:30:00	-6.5	21.5	19
30	2019.05.30 01:55:40	2019.05.30 03:57:40	-39.5	12	-39.5
33	2019.05.30 05:38:40	2019.05.30 06:30:00	-5	21.5	17.5
35	2019.05.30 07:16:00	2019.05.30 10:00:00	-9	27	20.5
38	2019.05.31 04:23:40	2019.05.31 10:04:40	-40	37.5	-40
41	2019.06.03 03:33:40	2019.06.03 07:53:40	-28	16.5	-28
43	2019.06.03 08:32:00	2019.06.03 10:43:40	-26	31.5	-26
45	2019.06.04 02:32:40	2019.06.04 02:54:40	-21.5	0	-21.5
47	2019.06.04 04:15:40	2019.06.04 04:40:40	-16.5	2	-16.5
49	2019.06.04 05:34:40	2019.06.04 06:30:00	-10.5	24	19.5
51	2019.06.04 07:05:40	2019.06.04 07:41:00	-11.5	1	-11.5
53	2019.06.04 08:55:40	2019.06.04 09:13:40	-11.5	5.5	-11.5
56	2019.06.05 02:43:40	2019.06.05 04:00:00	-9.5	19.5	15
58	2019.06.05 04:56:40	2019.06.05 05:51:40	-19	9.5	-19
61	2019.06.05 08:03:40	2019.06.05 08:24:40	-7.5	5	-7.5
63	2019.06.06 02:08:40	2019.06.06 03:30:00	-9	52.5	50.5
65	2019.06.06 05:08:40	2019.06.06 08:44:40	-22.5	13	-22.5
67	2019.06.06 09:43:40	2019.06.06 10:30:00	0	52.5	48
69	2019.06.07 02:39:40	2019.06.07 11:00:00	-25.5	44	32
72	2019.06.10 04:34:40	2019.06.10 14:30:00	-18	36.5	33.5
74	2019.06.11 03:17:40	2019.06.11 04:00:00	-8	24.5	19.5
77	2019.06.11 05:00:40	2019.06.11 09:00:00	-9	19.5	17
79	2019.06.12 03:27:40	2019.06.12 04:30:40	-20	14.5	-20
81	2019.06.12 08:04:40	2019.06.12 08:11:40	-7	0.5	-7
