Date	PNL	MAE	MFE
24.05.2019	-55.5	-55.5	40.5
26.05.2019	-10.0	-10.0	9.0
27.05.2019	24.0	-31.5	57.0
28.05.2019	61.5	-2.0	156.5
29.05.2019	-55.0	-121.5	14.0
30.05.2019	-16.5	-51.5	61.0
31.05.2019	-112.5	-112.5	24.0
03.06.2019	-29.0	-37.5	88.5
04.06.2019	82.5	-44.0	89.0
05.06.2019	56.0	-55.0	63.5
06.06.2019	207.0	-21.5	214.5
07.06.2019	107.5	-5.5	110.5
10.06.2019	-78.0	-86.0	8.0
11.06.2019	3.5	-6.5	67.0
12.06.2019	-41.5	-59.5	10.5
13.06.2019	130.5	-42.5	166.5
14.06.2019	4.0	-20.5	55.0
16.06.2019	21.5	-10.5	25.5
17.06.2019	61.5	-17.5	96.0
18.06.2019	158.5	-5.0	257.0
19.06.2019	-113.5	-113.5	7.5
20.06.2019	81.0	-6.5	107.5
21.06.2019	-81.0	-89.5	31.0
23.06.2019	-15.0	-15.0	7.0
24.06.2019	-34.0	-34.0	46.0
25.06.2019	34.0	-2.0	65.5
26.06.2019	121.5	-4.5	184.0
27.06.2019	-35.5	-37.0	39.0
28.06.2019	38.5	-7.5	53.5
01.07.2019	24.5	-1.5	36.5
02.07.2019	74.0	-7.5	80.5
03.07.2019	7.5	-34.0	25.5
04.07.2019	3.0	-26.5	20.0
05.07.2019	22.0	-99.5	26.0
07.07.2019	-9.0	-9.0	3.0
08.07.2019	0.5	-40.5	28.0
09.07.2019	36.5	-47.0	60.5
10.07.2019	231.0	-48.5	253.0
11.07.2019	6.5	-34.0	61.5
12.07.2019	62.0	-24.5	64.0
15.07.2019	76.5	-8.5	83.5
16.07.2019	-94.5	-120.5	2.5
17.07.2019	-31.0	-31.0	21.5
18.07.2019	189.0	-19.5	191.5
19.07.2019	-63.5	-63.5	69.0
22.07.2019	126.5	-0.5	165.0
23.07.2019	27.0	-61.5	29.0
24.07.2019	83.0	-15.5	97.5
25.07.2019	-25.0	-58.5	42.5
26.07.2019	81.5	-6.0	104.0
29.07.2019	23.0	-37.0	40.0
30.07.2019	-10.0	-86.0	19.5
31.07.2019	-70.5	-70.5	13.0
01.08.2019	118.5	-7.0	157.5
02.08.2019	-275.0	-345.0	23.5
05.08.2019	-128.0	-201.0	31.0
06.08.2019	446.0	-17.5	471.5
07.08.2019	209.5	-46.0	257.0
08.08.2019	313.0	0.0	322.5
09.08.2019	63.0	-38.0	137.5
12.08.2019	-65.0	-99.0	78.0
13.08.2019	77.5	-162.5	288.0
14.08.2019	-125.0	-180.0	34.0
15.08.2019	40.5	-29.5	201.5
16.08.2019	50.5	0.0	112.0
18.08.2019	-18.5	-18.5	13.5
19.08.2019	92.0	-2.0	137.0
20.08.2019	-56.5	-82.0	52.0
21.08.2019	-6.5	-15.5	79.0
22.08.2019	58.5	-27.0	88.0
23.08.2019	-169.5	-169.5	29.0
26.08.2019	48.0	-45.5	194.5
27.08.2019	95.0	-33.0	168.0
28.08.2019	-93.0	-166.0	31.0
29.08.2019	139.5	-7.0	205.0
30.08.2019	36.0	-11.5	81.5
02.09.2019	149.5	0.0	161.5
03.09.2019	-18.5	-105.0	22.5
04.09.2019	110.5	0.0	129.0
05.09.2019	162.0	-1.0	164.5
06.09.2019	-37.5	-49.0	36.5
09.09.2019	30.0	-20.5	33.0
10.09.2019	43.0	-85.5	59.5
11.09.2019	174.5	-4.5	194.5
