Ticket	Entry_time	Exit_time	MAE	MFE	PNL
3	2010.06.10 03:03:40	2010.06.10 03:17:40	-4.5	2	-4.5
5	2010.06.10 04:38:01	2010.06.10 07:30:00	-4	19.5	17.5
7	2010.06.10 09:01:20	2010.06.10 12:00:00	-7.5	19.5	12.5
10	2010.06.11 02:26:40	2010.06.11 03:10:00	-4	0	-4
13	2010.06.11 04:35:40	2010.06.11 04:49:01	-2.5	3	-2.5
18	2010.06.11 06:38:30	2010.06.11 07:30:01	-1	3.5	3.5
21	2010.06.11 09:00:40	2010.06.11 12:30:00	-6.5	11	8
24	2010.06.14 04:44:01	2010.06.14 04:56:01	-4	0.5	-4
28	2010.06.14 08:04:01	2010.06.14 09:00:00	0.5	7.5	5
30	2010.06.15 01:31:01	2010.06.15 01:46:30	-2.5	2.5	-2.5
33	2010.06.15 05:28:00	2010.06.15 09:14:20	-7.5	5.5	-7.5
38	2010.06.16 02:40:01	2010.06.16 03:19:40	-3.5	0	-3.5
40	2010.06.16 03:33:40	2010.06.16 05:12:00	-2	2.5	-2
42	2010.06.16 06:44:00	2010.06.16 07:05:40	-2.5	1.5	-2.5
45	2010.06.16 08:36:00	2010.06.16 08:59:40	-2.5	1	-2.5
50	2010.06.17 02:45:01	2010.06.17 02:51:40	-3.5	0	-3.5
52	2010.06.17 04:06:01	2010.06.17 04:21:40	-2.5	0	-2.5
59	2010.06.17 08:30:40	2010.06.17 08:32:30	-1.5	0	-1.5
62	2010.06.18 02:35:40	2010.06.18 02:43:40	-1.5	1	-1.5
64	2010.06.18 03:46:40	2010.06.18 05:30:30	-2.5	4	3.5
70	2010.06.21 05:47:40	2010.06.21 06:30:01	-0.5	11	11
73	2010.06.21 08:18:40	2010.06.21 10:00:00	-2.5	11.5	10.5
75	2010.06.22 02:05:30	2010.06.22 03:04:40	-3	0	-3
77	2010.06.22 03:38:40	2010.06.22 04:30:00	-1.5	14.5	11
84	2010.06.22 09:32:40	2010.06.22 12:14:40	-8.5	7.5	-8.5
87	2010.06.23 01:39:00	2010.06.23 03:40:40	-3.5	3.5	-3.5
89	2010.06.23 04:54:40	2010.06.23 11:00:00	-4	8.5	6
93	2010.06.24 02:11:20	2010.06.24 02:42:40	-3.5	2	-3.5
95	2010.06.24 03:32:40	2010.06.24 06:30:01	-2.5	7	5.5
97	2010.06.24 08:19:40	2010.06.24 08:36:40	-3.5	0	-3.5
99	2010.06.24 09:28:20	2010.06.24 10:05:40	-7	1.5	-7
101	2010.06.25 01:04:40	2010.06.25 01:42:30	-2.5	0.5	-2.5
103	2010.06.25 02:58:00	2010.06.25 03:16:40	-3.5	0.5	-3.5
106	2010.06.25 04:12:40	2010.06.25 06:44:40	-6.5	8.5	-6.5
109	2010.06.25 08:00:40	2010.06.25 10:12:20	-6	5	-6
111	2010.06.28 01:00:40	2010.06.28 16:34:40	-13	14	-13
113	2010.06.29 02:16:40	2010.06.29 03:30:01	-3.5	9	9
115	2010.06.29 04:35:20	2010.06.29 04:41:20	-3	0	-3
126	2010.06.30 01:35:59	2010.06.30 04:00:00	-2.5	8	7.5
128	2010.06.30 04:35:40	2010.06.30 05:30:00	-2	6.5	6
131	2010.06.30 07:06:00	2010.06.30 08:00:40	-3	2	-3
133	2010.06.30 08:40:00	2010.06.30 12:14:20	-6.5	7	-6.5
137	2010.07.01 02:11:40	2010.07.01 03:30:00	-3	9	6.5
143	2010.07.01 07:17:40	2010.07.01 08:30:00	-2	8	7.5
147	2010.07.02 02:54:40	2010.07.02 03:30:00	0	5	5
149	2010.07.02 04:58:00	2010.07.02 10:22:40	-14	9	-14
153	2010.07.05 02:31:40	2010.07.05 03:30:00	-1	10	5
156	2010.07.05 05:17:40	2010.07.05 08:18:00	-6.5	5	-6.5
158	2010.07.05 08:33:30	2010.07.05 09:30:00	-0.5	6.5	6.5
160	2010.07.06 01:23:40	2010.07.06 02:08:40	-9	3	-9
163	2010.07.06 05:03:40	2010.07.06 08:00:00	-1	21.5	21.5
170	2010.07.07 05:32:40	2010.07.07 07:18:40	-5.5	5.5	-5.5
172	2010.07.07 07:46:01	2010.07.07 10:00:00	-1.5	8.5	5.5
174	2010.07.08 01:00:40	2010.07.08 02:46:40	-2	6	-2
177	2010.07.08 03:57:40	2010.07.08 04:30:00	-2.5	8	6
180	2010.07.08 05:30:40	2010.07.08 06:10:40	-3.5	1	-3.5
182	2010.07.08 06:38:30	2010.07.08 07:51:30	-4	0.5	-4
190	2010.07.09 04:21:00	2010.07.09 05:00:00	-1	4.5	2.5
193	2010.07.09 08:02:40	2010.07.09 09:06:40	-4	4	-4
195	2010.07.09 09:44:40	2010.07.09 10:05:40	-4	0.5	-4
199	2010.07.12 03:18:20	2010.07.12 03:53:40	-4	0	-4
201	2010.07.12 05:17:40	2010.07.12 08:01:20	-7.5	0.5	-7.5
205	2010.07.12 09:53:00	2010.07.12 10:18:40	-5	2	-5
208	2010.07.13 03:02:40	2010.07.13 03:30:00	-0.5	7	4
215	2010.07.13 07:30:00	2010.07.13 07:53:40	-6	0	-6
219	2010.07.13 09:13:40	2010.07.13 09:14:40	-2.5	0	-2.5
221	2010.07.13 09:42:00	2010.07.13 11:00:00	-3	10.5	3
223	2010.07.14 03:27:40	2010.07.14 09:01:40	-3	4.5	-3
231	2010.07.15 05:01:00	2010.07.15 05:30:00	-0.5	31	21
235	2010.07.15 07:34:40	2010.07.15 07:56:00	-4.5	0	-4.5
239	2010.07.16 02:47:40	2010.07.16 02:58:01	-2.5	0	-2.5
243	2010.07.16 05:31:01	2010.07.16 05:50:40	-5	1.5	-5
247	2010.07.16 07:09:30	2010.07.16 07:23:20	-4.5	0.5	-4.5
252	2010.07.16 09:02:40	2010.07.16 09:12:40	-3.5	0.5	-3.5
255	2010.07.19 02:05:40	2010.07.19 23:30:00	-17.5	40	8
258	2010.07.20 01:33:40	2010.07.20 03:00:00	-2	6.5	6
261	2010.07.20 05:13:00	2010.07.20 06:00:00	0	8.5	6
263	2010.07.20 08:16:40	2010.07.20 08:37:00	-5	6.5	-5
265	2010.07.20 09:22:00	2010.07.20 10:13:40	-11	1	-11
269	2010.07.21 02:34:00	2010.07.21 03:10:40	-3	2	-3
272	2010.07.21 04:26:01	2010.07.21 05:10:40	-3	4	-3
276	2010.07.21 07:48:59	2010.07.21 08:24:01	-4.5	0	-4.5
279	2010.07.21 09:04:40	2010.07.21 10:01:20	-2	4	-2
281	2010.07.22 01:18:01	2010.07.22 05:40:40	-4.5	6	-4.5
284	2010.07.22 07:11:40	2010.07.22 07:28:20	-3.5	1.5	-3.5
286	2010.07.22 08:01:01	2010.07.22 08:10:00	-2	1	-2
288	2010.07.22 09:31:40	2010.07.22 10:30:00	-3.5	9	8.5
291	2010.07.23 04:41:30	2010.07.23 04:58:20	-5	0	-5
294	2010.07.23 05:58:01	2010.07.23 08:51:40	-6.5	9	-6.5
297	2010.07.26 03:24:40	2010.07.26 04:30:00	-1.5	15.5	11.5
303	2010.07.26 09:30:40	2010.07.26 10:00:40	-4	2.5	-4
307	2010.07.27 03:09:40	2010.07.27 03:11:40	-1.5	0.5	-1.5
313	2010.07.27 07:46:40	2010.07.27 07:53:40	-2	0	-2
316	2010.07.27 09:00:40	2010.07.27 09:12:40	-2	2	-2
319	2010.07.28 02:42:20	2010.07.28 03:30:01	-1	2.5	2
321	2010.07.28 04:15:40	2010.07.28 04:28:59	-3	0.5	-3
323	2010.07.28 05:45:40	2010.07.28 08:31:01	-1.5	8	8
326	2010.07.29 02:11:00	2010.07.29 02:30:00	0	2	1.5
328	2010.07.29 04:33:40	2010.07.29 05:29:40	-5	0.5	-5
330	2010.07.29 06:30:00	2010.07.29 09:00:00	-2	8.5	8
336	2010.07.30 05:02:40	2010.07.30 06:03:40	-4	3	-4
338	2010.07.30 08:02:40	2010.07.30 10:00:00	-0.5	10.5	7.5
341	2010.08.02 04:38:40	2010.08.02 05:24:20	-5.5	0	-5.5
343	2010.08.02 06:25:00	2010.08.02 10:30:00	-4	6	5.5
346	2010.08.03 01:44:59	2010.08.03 03:00:00	-1	2	1
348	2010.08.03 04:18:40	2010.08.03 04:34:01	-3	0	-3
352	2010.08.03 06:45:40	2010.08.03 07:29:40	-1.5	1	-1.5
354	2010.08.03 07:42:20	2010.08.03 07:52:00	-2.5	0	-2.5
356	2010.08.03 09:26:40	2010.08.03 10:00:40	-4	3.5	-4
361	2010.08.04 04:03:40	2010.08.04 07:17:00	-4.5	5	-4.5
365	2010.08.04 08:35:20	2010.08.04 08:38:01	-1.5	0	-1.5
367	2010.08.04 09:44:00	2010.08.04 10:20:40	-4.5	3.5	-4.5
369	2010.08.05 01:00:20	2010.08.05 01:40:40	-4	0	-4
371	2010.08.05 02:40:30	2010.08.05 03:30:01	0	4.5	4.5
375	2010.08.05 05:34:40	2010.08.05 06:14:59	-2.5	2	-2.5
377	2010.08.05 08:27:00	2010.08.05 08:30:01	0	3.5	2.5
382	2010.08.06 03:41:00	2010.08.06 03:51:01	-1	0.5	-1
384	2010.08.06 04:55:01	2010.08.06 05:19:40	-2	1.5	-2
387	2010.08.06 06:27:00	2010.08.06 07:02:00	0	6.5	6
390	2010.08.06 08:56:00	2010.08.06 10:30:00	-2.5	5.5	4
395	2010.08.09 04:16:40	2010.08.09 08:30:00	-1.5	8.5	8.5
397	2010.08.10 01:20:40	2010.08.10 02:34:30	-2	0.5	-2
400	2010.08.10 05:09:20	2010.08.10 05:33:00	-3	0	-3
404	2010.08.10 07:01:00	2010.08.10 07:37:00	-4	0	-4
406	2010.08.10 08:06:01	2010.08.10 09:00:30	-0.5	3.5	2
414	2010.08.11 05:05:40	2010.08.11 07:59:40	-5	7	-5
419	2010.08.12 03:14:40	2010.08.12 16:14:40	-25.5	24.5	-25.5
421	2010.08.13 01:49:59	2010.08.13 04:02:01	-1	9.5	2.5
423	2010.08.13 06:47:00	2010.08.13 09:30:00	-1.5	12	9.5
425	2010.08.16 01:00:40	2010.08.16 01:06:40	-6	0.5	-6
432	2010.08.16 04:35:40	2010.08.16 06:00:00	-0.5	10.5	9
434	2010.08.16 07:13:40	2010.08.16 07:30:00	-1	10	8
436	2010.08.16 08:22:00	2010.08.16 09:30:00	-1	6	4.5
441	2010.08.17 03:07:01	2010.08.17 03:18:00	-4	1.5	-4
443	2010.08.17 04:16:40	2010.08.17 04:30:00	0	7	5.5
445	2010.08.17 08:31:20	2010.08.17 09:33:20	-4.5	1.5	-4.5
447	2010.08.18 01:35:40	2010.08.18 03:36:40	-4	0	-4
451	2010.08.18 06:05:40	2010.08.18 06:10:00	-3	0	-3
454	2010.08.18 07:01:00	2010.08.18 08:30:00	-1.5	6.5	6
456	2010.08.18 09:36:00	2010.08.18 10:03:40	-6	0.5	-6
459	2010.08.19 02:11:01	2010.08.19 02:59:40	-6	0	-6
461	2010.08.19 03:15:40	2010.08.19 05:35:40	-6	4	-6
