Ticket	Entry_time	Exit_time	MAE	MFE	PNL	Unnamed: 6
2	2020-01-02 14:11:40	2020.01.02 14:30:00	-5.5	3.5	2.0	5.25
2	2020-01-02 14:11:40	2020.01.02 15:30:00	-5.5	23.5	19.0	5.25
5	2020-01-03 14:11:40	2020.01.03 14:30:00	4.5	41.5	19.5	16.0
5	2020-01-03 14:11:40	2020.01.03 15:30:00	4.5	88.0	82.5	16.0
7	2020-01-07 14:09:40	2020.01.07 14:30:00	-9.0	8.0	4.5	9.0
7	2020-01-07 14:09:40	2020.01.07 15:35:40	-18.0	19.5	-18.0	9.0
9	2020-01-07 17:58:40	2020.01.07 23:30:00	-61.0	20.0	-51.0	43.5
9	2020-01-07 17:58:40	2020.01.07 23:30:00	-61.0	20.0	-51.0	43.5
12	2020-01-08 14:41:20	2020.01.08 15:30:00	-11.0	26.5	10.5	11.75
12	2020-01-08 14:41:20	2020.01.08 15:48:40	-23.5	26.5	-23.5	11.75
18	2020-01-10 17:40:20	2020.01.10 17:50:40	-31.5	6.5	-31.5	15.75
18	2020-01-10 17:40:20	2020.01.10 17:50:40	-31.5	6.5	-31.5	15.75
21	2020-01-13 17:54:40	2020.01.13 19:30:00	-10.0	60.0	54.5	14.0
21	2020-01-13 17:54:40	2020.01.13 18:30:00	-10.0	33.0	13.0	14.0
24	2020-01-15 14:51:40	2020.01.15 15:00:00	-0.5	15.5	6.5	10.25
24	2020-01-15 14:51:40	2020.01.15 15:40:40	-20.5	15.5	-20.5	10.25
26	2020-01-15 17:37:40	2020.01.15 18:11:40	-38.0	9.5	-38.0	19.0
26	2020-01-15 17:37:40	2020.01.15 18:00:00	-13.0	9.5	6.5	19.0
35	2020-01-23 17:07:40	2020.01.23 23:30:00	-50.5	105.0	97.5	49.25
35	2020-01-23 17:07:40	2020.01.23 21:00:00	-50.5	28.0	22.5	49.25
40	2020-01-27 14:10:40	2020.01.27 16:15:40	-50.0	22.5	-50.0	25.0
40	2020-01-27 14:10:40	2020.01.27 16:15:40	-50.0	22.5	-50.0	25.0
42	2020-01-28 17:24:40	2020.01.28 22:00:00	13.5	155.5	143.0	38.75
42	2020-01-28 17:24:40	2020.01.28 17:30:00	13.5	35.5	21.5	38.75
46	2020-01-29 17:40:40	2020.01.29 23:30:00	-39.5	105.0	-26.0	33.25
46	2020-01-29 17:40:40	2020.01.29 18:00:00	-1.5	20.0	17.5	33.25
52	2020-02-03 14:48:40	2020.02.03 17:00:00	-28.5	155.0	153.0	17.75
52	2020-02-03 14:48:40	2020.02.03 15:30:00	-19.0	45.0	38.5	17.75
58	2020-02-06 17:40:20	2020.02.06 23:30:00	-23.5	78.0	72.5	28.0
58	2020-02-06 17:40:20	2020.02.06 18:30:00	-23.5	54.5	43.0	28.0
60	2020-02-07 17:30:40	2020.02.07 23:30:00	-76.0	79.0	-35.5	39.0
60	2020-02-07 17:30:40	2020.02.07 18:30:00	-10.5	58.0	54.0	39.0
64	2020-02-11 14:06:40	2020.02.11 16:34:40	-18.0	39.5	-18.0	9.0
64	2020-02-11 14:06:40	2020.02.11 14:30:00	-2.0	22.5	18.5	9.0
66	2020-02-11 17:08:40	2020.02.11 21:03:40	-85.5	56.0	-85.5	42.75
66	2020-02-11 17:08:40	2020.02.11 17:30:00	-10.0	32.0	30.0	42.75
74	2020-02-18 14:25:40	2020.02.18 17:00:00	-5.5	112.5	111.5	13.5
74	2020-02-18 14:25:40	2020.02.18 14:30:00	2.5	16.5	9.0	13.5
88	2020-02-28 17:53:40	2020.03.02 04:30:00	-69.0	512.0	479.5	122.0
88	2020-02-28 17:53:40	2020.03.02 01:30:00	-69.0	254.5	215.5	122.0
90	2020-03-02 14:58:40	2020.03.02 18:30:00	-109.0	417.0	397.5	95.0
90	2020-03-02 14:58:40	2020.03.02 16:00:00	-109.0	117.5	103.0	95.0
93	2020-03-02 17:44:40	2020.03.02 18:00:00	10.0	127.0	45.0	91.0
95	2020-03-03 14:02:40	2020.03.03 14:30:00	-28.5	63.0	53.0	27.75
92	2020-03-03 14:02:40	2020.03.03 14:36:40	-55.5	103.0	-55.5	27.75
94	2020-03-03 17:00:40	2020.03.03 18:24:40	-318.5	197.0	-318.5	159.25
97	2020-03-03 17:00:40	2020.03.03 18:00:00	-174.0	197.0	51.5	159.25
96	2020-03-04 17:22:40	2020.03.04 23:30:00	-166.0	335.0	221.0	117.25
99	2020-03-04 17:22:40	2020.03.04 20:00:00	-166.0	71.0	69.5	117.25
99	2020-03-09 17:17:40	2020.03.09 19:39:40	-178.5	211.5	-178.5	89.25
